celebrity_name,_season_raw,y_judges,y_fans,US,ProStrength,ProCount,age_z,age_z2,industry_grp_Media,industry_grp_Model,industry_grp_Other,industry_grp_Performer,season_2,season_3,season_4,season_5,season_6,season_7,season_8,season_9,season_10,season_11,season_12,season_13,season_14,season_15,season_16,season_17,season_18,season_19,season_20,season_21,season_22,season_23,season_24,season_25,season_26,season_27,season_28,season_29,season_30,season_31,season_32,season_33,season_34,Intercept
Apolo Anton Ohno,4,0.178011794399143,0.172,1,0.7127142365859706,4,-1.0754464967533406,1.156585167379033,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Shandi Finnessey,4,0.09006531266644006,0.085,1,0.6774310804002015,0,-0.7845144645392643,0.6154629450713286,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Paulina Porizkova,4,0.08897364771151178,0.082,0,0.6096839335556674,4,0.1610146401564839,0.025925714344721996,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Heather Mills,4,0.11184908310227042,0.101,0,0.5373309318623505,6,0.015548624049445712,0.00024175970983100157,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Billy Ray Cyrus,4,0.1062712202867889,0.123,1,0.6411516918264919,17,0.4519466723705603,0.20425579466682256,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Joey Fatone,4,0.17680658286213982,0.172,1,0.6467611586970256,13,-0.6390484484322261,0.40838291944363553,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Leeza Gibbons,4,0.08820802228248094,0.093,1,0.6423953069891312,20,0.8156117126381557,0.6652224657925454,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Cameron Mathison,5,0.1260607906093093,0.119,0,0.5849012692243096,10,-0.05718438400407338,0.0032700537739253233,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Jane Seymour,5,0.1169763184777003,0.112,0,0.6303953069891313,20,1.2520097609592702,1.567528441537289,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Sabrina Bryan,5,0.12186320977218612,0.102,1,0.7587589433527677,20,-1.1481795048068597,1.3183161752585255,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Jennie Garth,5,0.14195509272415088,0.129,1,0.8773104303983164,16,-0.27538340816463064,0.07583602149236755,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Floyd Mayweather Jr. ,5,0.0861077279251732,0.092,1,0.6593335100083102,17,-0.6390484484322261,0.40838291944363553,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Josie Maran,5,0.0622568093385214,0.074,1,0.6207950446667786,4,-0.7117814564857452,0.5066328417969688,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Albert Reed,5,0.0849736781872282,0.072,1,0.583386117709158,10,-1.2209125128603788,1.4906273640590446,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Helio Castroneves,5,0.1690406028299701,0.171,0,0.7127142365859706,4,-0.49358243232518795,0.24362361750004874,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Mel B,5,0.17260581647909706,0.171,0,0.7300160581039441,16,-0.49358243232518795,0.24362361750004874,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Wayne Newton,5,0.07075632623496951,0.094,1,0.8123400852657957,24,1.906606833440942,3.6351496173236963,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Marie Osmond,5,0.15179670484879987,0.171,1,0.5009672954987141,6,0.5974126884775984,0.35690192035403207,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Mark Cuban,5,0.08811381098677987,0.097,1,0.6745389364748035,13,0.7428787045846367,0.5518687697253479,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Cristian de la Fuente,6,0.15813806041186904,0.171,0,0.788202154231313,24,-0.34811641621814976,0.12118503924056809,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Steve Guttenberg,6,0.07614538219016341,0.085,1,0.5767194510424913,10,0.7428787045846367,0.5518687697253479,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Priscilla Presley,6,0.09988664339910158,0.096,1,0.6427295520525924,10,1.688407809280385,2.8507209304389884,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Marlee Matlin,6,0.1019339479803437,0.102,1,0.6774310804002015,0,0.233747648210003,0.05463796304370731,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Shannon Elizabeth,6,0.11789162646164959,0.11,1,0.886834239922126,16,-0.34811641621814976,0.12118503924056809,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Marissa Jaret Winokur,6,0.13384376710864557,0.128,1,0.6223953069891313,20,-0.27538340816463064,0.07583602149236755,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Jason Taylor,6,0.16564760507522003,0.171,1,0.5715679358909762,10,-0.4208494242716688,0.1771142379097951,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Kristi Yamaguchi,6,0.17729755545368894,0.171,1,0.7427589433527677,20,-0.20265040011111157,0.04106718466519361,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Monica Seles,6,0.0600470769082961,0.074,0,0.5736945682259869,6,-0.34811641621814976,0.12118503924056809,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Penn Jillette,6,0.06599574066067798,0.074,1,0.6912056031414702,13,1.033810736798713,1.0687646395202979,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Adam Carolla,6,0.07805201593839044,0.09,1,0.7793809032526372,4,0.3064806562635221,0.09393039266371919,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Mario,6,0.13194571888041157,0.118,1,0.6411516918264919,17,-1.293645520913898,1.6735187337805904,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Ted McGinley,7,0.07341269841269842,0.063,1,0.6774310804002015,0,0.8156117126381557,0.6652224657925454,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Cloris Leachman,7,0.08693067810641608,0.106,1,0.6478592336668346,1,3.1430679703507667,9.878876266244887,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Susan Lucci,7,0.11600362585231797,0.112,1,0.6303953069891313,20,1.6156748012268658,2.6104050633194724,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Cody Linley,7,0.13881006495904347,0.13,1,0.7238253476970817,4,-1.5118445450744553,2.285673928471387,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Misty May-Treanor,7,0.017835595776772246,0.068,1,0.7300160581039441,16,-0.5663154403787071,0.3207131780113289,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Maurice Greene,7,0.12631173067660212,0.12,1,0.7950987059554508,24,-0.34811641621814976,0.12118503924056809,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Warren Sapp,7,0.16343047535619976,0.172,1,0.6467611586970256,13,-0.27538340816463064,0.07583602149236755,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Jeffrey Ross,7,0.047619047619047616,0.063,1,0.6315679358909763,10,0.3064806562635221,0.09393039266371919,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Toni Braxton,7,0.10502115467036421,0.099,1,0.5763506002223342,4,0.0882816321029648,0.007793646566763225,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Lance Bass,7,0.16641470470197928,0.172,1,0.6432609947455552,5,-0.7117814564857452,0.5066328417969688,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Kim Kardashian,7,0.07516788766788768,0.074,1,0.7747589433527677,20,-0.8572474725927834,0.7348732292667151,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Rocco DiSpirito,7,0.08275377444785592,0.095,1,0.6593335100083102,17,0.1610146401564839,0.025925714344721996,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Brooke Burke,7,0.18023099694907907,0.172,1,0.8725485256364116,16,-0.12991739205759248,0.016878528759046194,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Gilles Marini,8,0.16805193319526648,0.161,0,0.788202154231313,24,-0.4208494242716688,0.1771142379097951,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Denise Richards,8,0.07210382769239798,0.069,1,0.7646480927359787,16,-0.05718438400407338,0.0032700537739253233,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
David Alan Grier,8,0.08649988569102454,0.082,1,0.6770641890000559,13,0.9610777287451939,0.9236704006900206,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Lawrence Taylor,8,0.08963859345744259,0.097,1,0.5958103601334004,10,0.8156117126381557,0.6652224657925454,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Ty Murray,8,0.12137135515335395,0.123,1,0.6079232183637279,6,0.015548624049445712,0.00024175970983100157,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Shawn Johnson,8,0.16247556953709436,0.161,1,0.7427589433527677,20,-1.5845775531279744,2.5108860218770386,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Steve Wozniak,8,0.05165143534567983,0.083,1,0.6609864025702937,17,1.3974757770663084,1.9529385474870826,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Belinda Carlisle,8,0.06894168801925615,0.069,1,0.5753474607879703,6,0.8156117126381557,0.6652224657925454,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Chuck Wicks,8,0.11052867589864035,0.104,1,0.7430172668890008,4,-0.7117814564857452,0.5066328417969688,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Lil' Kim,8,0.13051729839671677,0.111,1,0.8812065342944203,16,-0.34811641621814976,0.12118503924056809,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Steve-O,8,0.0692605694485195,0.095,0,0.6887155402001007,5,-0.34811641621814976,0.12118503924056809,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Holly Madison,8,0.06876085967839185,0.076,1,0.6981650574287154,2,-0.6390484484322261,0.40838291944363553,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Melissa Rycroft,8,0.16183834428096244,0.161,1,0.6183953069891313,20,-0.9299804806463025,0.8648636943831277,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Ashley Hamiliton,9,0.046797967676719905,0.054,1,0.6315679358909763,10,-0.34811641621814976,0.12118503924056809,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Debi Mazar,9,0.06383581665381378,0.065,1,0.7633493914372773,16,0.4519466723705603,0.20425579466682256,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Melissa Joan Hart,9,0.08340570391946667,0.08,1,0.7587589433527677,20,-0.4208494242716688,0.1771142379097951,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Mark Dacascos,9,0.09379370752241221,0.086,1,0.6732609947455552,5,0.4519466723705603,0.20425579466682256,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Chuck Liddell,9,0.06373816568932587,0.073,1,0.5700527843758247,10,0.015548624049445712,0.00024175970983100157,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Natalie Coughlin,9,0.08575772847524672,0.078,1,0.5763506002223342,4,-0.8572474725927834,0.7348732292667151,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Louie Vito,9,0.076330044655011,0.08,1,0.6360223919174468,6,-1.293645520913898,1.6735187337805904,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Michael Irvin,9,0.07721422784684509,0.087,1,0.6774310804002015,0,0.3064806562635221,0.09393039266371919,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Joanna Krupa,9,0.13269843738143738,0.113,0,0.8773104303983164,16,-0.6390484484322261,0.40838291944363553,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Kathy Ireland,9,0.05524276068324306,0.064,1,0.6503953069891313,20,0.5246796804240793,0.275288767049914,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Tom DeLay,9,0.01686250562502071,0.066,1,0.788202154231313,24,1.688407809280385,2.8507209304389884,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Macy Gray,9,0.046797967676719905,0.054,1,0.5827854773168959,6,0.233747648210003,0.05463796304370731,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Aaron Carter,9,0.1117953991912514,0.101,1,0.6411516918264919,17,-1.293645520913898,1.6735187337805904,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
Mya,9,0.16069089450030988,0.156,1,0.6072559665196244,2,-0.7117814564857452,0.5066328417969688,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
