term,coef_judges,se_judges,p_judges,coef_fans,se_fans,p_fans,coef_diff_fans_minus_judges,abs_diff,se_diff_approx,z_diff_approx
season_8,-0.8937612395096284,0.13878395491703052,1.1951565190632827e-10,-0.8495019888895794,0.1342920066165623,2.519529402649844e-10,0.044259250620048984,0.044259250620048984,0.19311998649418752,0.22918006273463098
season_31,-1.111214864730328,0.13918530538741913,1.4200147610728032e-15,-1.0678632522934914,0.1345177698431678,2.0471528998614027e-15,0.043351612436836495,0.043351612436836495,0.19356544019883454,0.22396359800749968
season_34,-0.9239063555848287,0.13866317890172325,2.6837803784161278e-11,-0.9625126213126459,0.13547975780589322,1.2078033577939208e-12,-0.038606265727817224,0.038606265727817224,0.1938613988350306,-0.19914364571706114
season_6,-0.7867040934539126,0.13905228318176463,1.534921877147711e-08,-0.7520755782747383,0.1348114068767166,2.4228986737744475e-08,0.03462851517917431,0.03462851517917431,0.1936740893411953,0.1787978727405777
season_10,-0.7234719548332574,0.14041016221023872,2.569527120749413e-07,-0.6894093074112062,0.13622874757606376,4.177765739024852e-07,0.03406264742205123,0.03406264742205123,0.195635593177848,0.1741127310667115
season_12,-0.707056244290432,0.1397297527475199,4.188837624293477e-07,-0.6731856057846543,0.135475620319616,6.72805052176645e-07,0.03387063850577776,0.03387063850577776,0.19462283397347752,0.17403219249388552
season_14,-0.8327378110800647,0.14075186140316415,3.2915676786920906e-09,-0.7993311354098991,0.1366751564154669,4.963205873807449e-09,0.03340667567016564,0.03340667567016564,0.1961917043853992,0.17027567895807424
industry_grp_Media,-0.02136044417024868,0.05193034715769717,0.6808314996806526,-0.050670379135372014,0.049549324463367087,0.3064851730922481,-0.029309934965123335,0.029309934965123335,0.0717767128718986,-0.4083488055162597
season_11,-0.7784673756747759,0.13939591456518272,2.342681855030845e-08,-0.74933471660694,0.13506008898314315,2.886948901277567e-08,0.02913265906783591,0.02913265906783591,0.19409391704429652,0.15009568311812263
season_29,-1.017454519064584,0.13856258178752862,2.0897707354565728e-13,-0.9901565912362613,0.13389009958775633,1.410962079552215e-13,0.027297927828322743,0.027297927828322743,0.1926814672957544,0.14167386314544758
season_13,-0.8081617944256939,0.13983490317830025,7.4967640599114e-09,-0.7817630962879373,0.13576792645875266,8.507412782804917e-09,0.026398698137756638,0.026398698137756638,0.1949018470969269,0.13544611572936127
season_15,-0.8985366410051298,0.13841396941025694,8.489481818336685e-11,-0.8722146224443293,0.13489340955877424,1.0066149461299243e-10,0.02632201856080041,0.02632201856080041,0.19327353380712722,0.13619049666193742
season_25,-0.942721295161538,0.1399125038073206,1.606538854505797e-11,-0.9180997905739018,0.1361567036319221,1.5518736039367214e-11,0.024621504587636234,0.024621504587636234,0.19522847298881524,0.1261163610548079
season_20,-0.8725887380259013,0.1416075315447376,7.18218273663762e-10,-0.849231038050139,0.13788057590887032,7.31234050116433e-10,0.023357699975762314,0.023357699975762314,0.19764550640769854,0.1181797674042768
season_22,-0.8296563907903797,0.14075598135908154,3.762987637875055e-09,-0.8070503596622808,0.13651856524527467,3.3869185194275e-09,0.02260603112809889,0.02260603112809889,0.1960856061647219,0.11528654025277446
season_23,-0.8977583414349685,0.14144429391665556,2.194391033954921e-10,-0.8776509587275819,0.13718197102962892,1.5772078360847095e-10,0.020107382707386545,0.020107382707386545,0.19704157291585753,0.10204639767047019
industry_grp_Other,-0.010602520989873757,0.08682083989723918,0.9028043473899678,0.008740503344392558,0.08157929181054371,0.9146769611772372,0.019343024334266316,0.019343024334266316,0.11913454197994754,0.16236285474217957
season_2,-0.5558644155355763,0.13954664692963986,6.794794410762843e-05,-0.5382530723814724,0.13526309098080952,6.911707124278243e-05,0.017611343154103953,0.017611343154103953,0.19434343428834513,0.09061969712840519
season_32,-0.8981388497174507,0.13848203004363435,8.838022205965114e-11,-0.9117155799609801,0.13457337245021703,1.2452792571265288e-11,-0.013576730243529345,0.013576730243529345,0.19309910724193127,-0.0703096479183575
season_4,-0.6257893611248005,0.13856464382356332,6.295123485631132e-06,-0.6132665589082478,0.13478349498870879,5.364278196908172e-06,0.012522802216552775,0.012522802216552775,0.19330481380276657,0.06478267131686687
age_z2,0.01200994031325684,0.013838521514884046,0.3854693554697648,0.023518021855131035,0.012863013357935289,0.06749784036430208,0.011508081541874195,0.011508081541874195,0.01889343246645062,0.6091048602369784
season_24,-0.8047429283054826,0.14014187381375984,9.33745731631409e-09,-0.7974578421097893,0.13602741084151665,4.560072443356462e-09,0.007285086195693236,0.007285086195693236,0.1953028450798363,0.03730148525340336
season_19,-0.8552884865218165,0.14071451702978116,1.2155252284941558e-09,-0.8486840113118231,0.13637325786404048,4.869802063923049e-10,0.00660447520999341,0.00660447520999341,0.19595469058784137,0.03370409348294113
season_27,-0.9273642126454509,0.13886800986978298,2.421816984541126e-11,-0.9210590357874111,0.13569454230026,1.1390505743837031e-11,0.006305176858039774,0.006305176858039774,0.19415801032991453,0.03247446163733331
ProCount,0.0057255539635698155,0.0030002217816589402,0.05634251938674538,0.004085082686670839,0.002896369352424525,0.15841718832651452,-0.001640471276898976,0.001640471276898976,0.0041701662034989454,-0.3933827087089602
