season,week,celebrity_name,judge_percent,judge_rank,eliminated_this_week,rule_type,p_min,p_max,min_ok,max_ok
2,1,Stacy Keibler,0.113,4,0,S1-2_rank,0.0,0.9774007438725859,1,1
2,1,Jerry Rice,0.108,5,0,S1-2_rank,4.718447854656915e-16,0.9774007438725619,1,1
2,1,Tia Carrere,0.103,6,0,S1-2_rank,0.0,0.977400743856113,1,1
2,1,Lisa Rinna,0.097,7,0,S1-2_rank,0.0,0.9774007438604068,1,1
2,1,George Hamilton,0.092,8,0,S1-2_rank,0.0,0.9774007438742823,1,1
2,1,Kenny Mayne,0.067,9,1,S1-2_rank,0.0,0.2232515725699621,1,1
2,1,Master P,0.062,10,0,S1-2_rank,0.02876255836063983,1.0,1,1
2,2,Stacy Keibler,0.145,1,0,S1-2_rank,0.0,0.9744587188763697,1,1
2,2,Drew Lachey,0.135,2,0,S1-2_rank,2.0816681711721685e-16,0.9744587188763765,1,1
2,2,Giselle Fernandez,0.12,3,0,S1-2_rank,1.942890293094024e-16,0.974458718872778,1,1
2,2,Jerry Rice,0.115,4,0,S1-2_rank,0.0,0.9744587188763698,1,1
2,2,George Hamilton,0.11,5,0,S1-2_rank,0.0,0.9744587188727681,1,1
2,2,Tia Carrere,0.11,5,0,S1-2_rank,5.551115123125783e-17,0.9744587188727726,1,1
2,2,Lisa Rinna,0.1,7,0,S1-2_rank,1.3877787807814457e-17,0.9744587188730148,1,1
2,2,Tatum O'Neal,0.085,8,1,S1-2_rank,1.3877787807814457e-16,0.25154881054343636,1,1
2,2,Master P,0.08,9,0,S1-2_rank,0.033707390805686716,0.9999999999999998,1,1
2,3,Drew Lachey,0.148,1,0,S1-2_rank,3.822722540141599e-15,0.8128021814687851,1,1
2,3,Stacy Keibler,0.148,1,0,S1-2_rank,0.0,0.8128021814687756,1,1
2,3,Tia Carrere,0.143,3,0,S1-2_rank,0.0,0.8128021814727175,1,1
2,3,Lisa Rinna,0.137,4,0,S1-2_rank,6.938893903907228e-17,0.8128021814691091,1,1
2,3,George Hamilton,0.121,5,0,S1-2_rank,0.0,0.812802181468792,1,1
2,3,Giselle Fernandez,0.121,5,1,S1-2_rank,3.191891195797325e-16,0.13033848073905452,1,1
2,3,Jerry Rice,0.104,7,0,S1-2_rank,0.06021305097672154,0.871752566758738,1,1
2,3,Master P,0.077,8,0,S1-2_rank,0.09736546532206515,0.9350358516485552,1,1
2,4,Drew Lachey,0.177,1,0,S1-2_rank,0.0,1.0,1,1
2,4,Lisa Rinna,0.165,2,0,S1-2_rank,0.0,1.0,1,1
2,4,Stacy Keibler,0.165,2,0,S1-2_rank,0.0,0.9999999992186079,1,1
2,4,Tia Carrere,0.158,4,0,S1-2_rank,2.220446049250313e-16,0.9999999999999979,1,1
2,4,Jerry Rice,0.152,5,0,S1-2_rank,8.326672684688674e-17,0.9999999999999999,1,1
2,4,George Hamilton,0.133,6,0,S1-2_rank,0.0,0.9999999999999928,1,1
2,4,Master P,0.051,7,1,S1-2_rank,7.771561172376096e-16,0.41113166368314985,1,1
2,5,Stacy Keibler,0.199,1,0,S1-2_rank,5.273559366969494e-16,0.9999999999999971,1,1
2,5,Drew Lachey,0.179,2,0,S1-2_rank,0.0,1.0,1,1
2,5,Lisa Rinna,0.166,3,0,S1-2_rank,0.0,1.0,1,1
2,5,George Hamilton,0.159,4,0,S1-2_rank,0.0,1.0,1,1
2,5,Jerry Rice,0.152,5,0,S1-2_rank,1.6653345369377348e-16,0.9999999999999927,1,1
2,5,Tia Carrere,0.146,6,1,S1-2_rank,0.0,0.4004128000512654,1,1
2,6,Drew Lachey,0.226,1,0,S1-2_rank,0.0,0.9999999999999982,1,1
2,6,Stacy Keibler,0.226,1,0,S1-2_rank,0.0,1.0,1,1
2,6,Lisa Rinna,0.203,3,0,S1-2_rank,1.942890293094024e-16,0.9999999999999989,1,1
2,6,George Hamilton,0.173,4,1,S1-2_rank,0.0,0.3599243066437163,1,1
2,6,Jerry Rice,0.173,4,0,S1-2_rank,0.0,1.0,1,1
2,7,Drew Lachey,0.27,1,0,S1-2_rank,0.0,0.9195281093348844,1,1
2,7,Stacy Keibler,0.27,1,0,S1-2_rank,0.0,0.9195281093348676,1,1
2,7,Lisa Rinna,0.26,3,1,S1-2_rank,8.326672684688674e-17,0.33331207331679225,1,1
2,7,Jerry Rice,0.201,4,0,S1-2_rank,0.20038047029026462,0.9999999999999983,1,1
2,8,Drew Lachey,0.344,1,0,S1-2_rank,0.0,1.0,1,1
2,8,Stacy Keibler,0.34,2,0,S1-2_rank,0.0,1.0,1,1
2,8,Jerry Rice,0.316,3,0,S1-2_rank,0.0,1.0,1,1
3,1,Mario Lopez,0.123,1,0,S3-27_percent,0.0,1.0,1,1
3,1,Emmitt Smith,0.113,2,0,S3-27_percent,0.0,1.0,1,1
3,1,Vivica A. Fox,0.104,3,0,S3-27_percent,0.0,1.0,1,1
3,1,Willa Ford,0.104,3,0,S3-27_percent,0.0,1.0,1,1
3,1,Joey Lawrence,0.099,5,0,S3-27_percent,0.0,1.0,1,1
3,1,Monique Coleman,0.09,6,0,S3-27_percent,0.0,1.0,1,1
3,1,Shanna Moakler,0.085,7,0,S3-27_percent,0.0,1.0,1,1
3,1,Harry Hamlin,0.08,8,0,S3-27_percent,0.0,1.0,1,1
3,1,Jerry Springer,0.075,9,0,S3-27_percent,0.0,1.0,1,1
3,1,Sara Evans,0.071,10,0,S3-27_percent,0.0,1.0,1,1
3,1,Tucker Carlson,0.057,11,1,S3-27_percent,0.0,0.1249090909090909,1,1
3,2,Joey Lawrence,0.126,1,0,S3-27_percent,0.0,0.972,1,1
3,2,Monique Coleman,0.113,2,0,S3-27_percent,0.0,0.972,1,1
3,2,Emmitt Smith,0.104,3,0,S3-27_percent,0.0,0.972,1,1
3,2,Vivica A. Fox,0.104,3,0,S3-27_percent,0.0,0.972,1,1
3,2,Willa Ford,0.1,5,0,S3-27_percent,0.0,0.972,1,1
3,2,Shanna Moakler,0.096,6,1,S3-27_percent,0.0,0.10389999999999999,1,1
3,2,Harry Hamlin,0.091,7,0,S3-27_percent,0.0050000000000000044,0.977,1,1
3,2,Mario Lopez,0.091,7,0,S3-27_percent,0.0050000000000000044,0.977,1,1
3,2,Sara Evans,0.091,7,0,S3-27_percent,0.0050000000000000044,0.977,1,1
3,2,Jerry Springer,0.083,10,0,S3-27_percent,0.012999999999999998,0.985,1,1
3,3,Monique Coleman,0.13,1,0,S3-27_percent,0.0,0.981,1,1
3,3,Vivica A. Fox,0.13,1,0,S3-27_percent,0.0,0.981,1,1
3,3,Sara Evans,0.121,3,0,S3-27_percent,0.0,0.981,1,1
3,3,Harry Hamlin,0.106,4,1,S3-27_percent,0.0,0.116,1,1
3,3,Joey Lawrence,0.106,4,0,S3-27_percent,-0.0,0.981,1,1
3,3,Mario Lopez,0.106,4,0,S3-27_percent,0.0,0.981,1,1
3,3,Willa Ford,0.106,4,0,S3-27_percent,0.0,0.981,1,1
3,3,Jerry Springer,0.101,8,0,S3-27_percent,0.0049999999999999906,0.986,1,1
3,3,Emmitt Smith,0.092,9,0,S3-27_percent,0.013999999999999999,0.995,1,1
3,4,Mario Lopez,0.146,1,0,S3-27_percent,0.0,0.97,1,1
3,4,Willa Ford,0.141,2,0,S3-27_percent,0.0,0.97,1,1
3,4,Joey Lawrence,0.136,3,0,S3-27_percent,0.0,0.97,1,1
3,4,Emmitt Smith,0.121,4,0,S3-27_percent,0.0,0.97,1,1
3,4,Monique Coleman,0.121,4,0,S3-27_percent,0.0,0.97,1,1
3,4,Vivica A. Fox,0.121,4,1,S3-27_percent,0.0,0.12874999999999998,1,1
3,4,Jerry Springer,0.111,7,0,S3-27_percent,0.009999999999999995,0.98,1,1
3,4,Sara Evans,0.101,8,0,S3-27_percent,0.01999999999999999,0.99,1,1
3,5,Emmitt Smith,0.149,1,0,S3-27_percent,-0.0,0.973,1,1
3,5,Mario Lopez,0.149,1,0,S3-27_percent,0.0,0.973,1,1
3,5,Monique Coleman,0.149,1,0,S3-27_percent,0.0,0.973,1,1
3,5,Willa Ford,0.149,1,1,S3-27_percent,0.0,0.16216666666666665,1,1
3,5,Joey Lawrence,0.138,5,0,S3-27_percent,0.010999999999999982,0.984,1,1
3,5,Jerry Springer,0.133,6,0,S3-27_percent,0.015999999999999986,0.989,1,1
3,5,Sara Evans,0.133,6,1,S3-27_percent,0.0,0.1755,1,1
3,6,Mario Lopez,0.237,1,0,S3-27_percent,0.0,1.0,1,1
3,6,Emmitt Smith,0.212,2,0,S3-27_percent,0.0,1.0,1,1
3,6,Joey Lawrence,0.203,3,0,S3-27_percent,0.0,1.0,1,1
3,6,Monique Coleman,0.195,4,0,S3-27_percent,0.0,1.0,1,1
3,6,Jerry Springer,0.153,5,0,S3-27_percent,0.0,1.0,1,1
3,7,Emmitt Smith,0.211,1,0,S3-27_percent,0.0,1.0,1,1
3,7,Joey Lawrence,0.211,1,0,S3-27_percent,0.0,1.0,1,1
3,7,Mario Lopez,0.207,3,0,S3-27_percent,0.0,1.0,1,1
3,7,Monique Coleman,0.2,4,0,S3-27_percent,0.0,1.0,1,1
3,7,Jerry Springer,0.17,5,1,S3-27_percent,0.0,0.22979999999999995,1,1
3,8,Mario Lopez,0.261,1,0,S3-27_percent,0.0,1.0,1,1
3,8,Emmitt Smith,0.248,2,0,S3-27_percent,0.0,1.0,1,1
3,8,Joey Lawrence,0.248,2,0,S3-27_percent,0.0,1.0,1,1
3,8,Monique Coleman,0.243,4,1,S3-27_percent,0.0,0.25699999999999995,1,1
3,9,Emmitt Smith,0.333,1,0,S3-27_percent,-0.0,1.0,1,1
3,9,Joey Lawrence,0.333,1,1,S3-27_percent,0.0,0.3333333333333333,1,1
3,9,Mario Lopez,0.333,1,0,S3-27_percent,0.0,1.0,1,1
3,10,Emmitt Smith,0.5,1,0,S3-27_percent,0.0,1.0,1,1
3,10,Mario Lopez,0.5,1,0,S3-27_percent,0.0,1.0,1,1
4,1,Joey Fatone,0.117,1,0,S3-27_percent,0.0,1.0,1,1
4,1,Laila Ali,0.112,2,0,S3-27_percent,0.0,1.0,1,1
4,1,Apolo Anton Ohno,0.102,3,0,S3-27_percent,0.0,1.0,1,1
4,1,Ian Ziering,0.102,3,0,S3-27_percent,0.0,1.0,1,1
4,1,Paulina Porizkova,0.092,5,0,S3-27_percent,0.0,1.0,1,1
4,1,Shandi Finnessey,0.092,5,0,S3-27_percent,0.0,1.0,1,1
4,1,Heather Mills,0.087,7,0,S3-27_percent,0.0,1.0,1,1
4,1,John Ratzenberger,0.083,8,0,S3-27_percent,0.0,1.0,1,1
4,1,Clyde Drexler,0.078,9,0,S3-27_percent,0.0,1.0,1,1
4,1,Leeza Gibbons,0.073,10,0,S3-27_percent,0.0,1.0,1,1
4,1,Billy Ray Cyrus,0.063,11,0,S3-27_percent,0.0,1.0,1,1
4,2,Laila Ali,0.11,1,0,S3-27_percent,0.0,0.983,1,1
4,2,Apolo Anton Ohno,0.106,2,0,S3-27_percent,0.0,0.983,1,1
4,2,Heather Mills,0.098,3,0,S3-27_percent,0.0,0.983,1,1
4,2,Joey Fatone,0.098,3,0,S3-27_percent,0.0,0.983,1,1
4,2,Ian Ziering,0.09,5,0,S3-27_percent,0.0,0.983,1,1
4,2,Billy Ray Cyrus,0.086,6,0,S3-27_percent,-0.0,0.983,1,1
4,2,John Ratzenberger,0.086,6,0,S3-27_percent,0.0,0.983,1,1
4,2,Leeza Gibbons,0.086,6,0,S3-27_percent,0.0,0.983,1,1
4,2,Paulina Porizkova,0.086,6,1,S3-27_percent,0.0,0.09590909090909092,1,1
4,2,Shandi Finnessey,0.082,10,0,S3-27_percent,0.00399999999999999,0.987,1,1
4,2,Clyde Drexler,0.073,11,0,S3-27_percent,0.012999999999999998,0.996,1,1
4,3,Heather Mills,0.11,1,0,S3-27_percent,0.0,0.973,1,1
4,3,Ian Ziering,0.11,1,0,S3-27_percent,0.0,0.973,1,1
4,3,Joey Fatone,0.11,1,0,S3-27_percent,0.0,0.973,1,1
4,3,Leeza Gibbons,0.11,1,0,S3-27_percent,0.0,0.973,1,1
4,3,Apolo Anton Ohno,0.106,5,0,S3-27_percent,0.0,0.973,1,1
4,3,Billy Ray Cyrus,0.096,6,0,S3-27_percent,-0.0,0.973,1,1
4,3,Laila Ali,0.096,6,0,S3-27_percent,0.0,0.973,1,1
4,3,Shandi Finnessey,0.096,6,1,S3-27_percent,0.0,0.10389999999999999,1,1
4,3,John Ratzenberger,0.092,9,0,S3-27_percent,0.0040000000000000036,0.977,1,1
4,3,Clyde Drexler,0.073,10,0,S3-27_percent,0.023000000000000007,0.996,1,1
4,4,Joey Fatone,0.147,1,0,S3-27_percent,0.0,0.995,1,1
4,4,Apolo Anton Ohno,0.137,2,0,S3-27_percent,0.0,0.995,1,1
4,4,Ian Ziering,0.126,3,0,S3-27_percent,0.0,0.995,1,1
4,4,Heather Mills,0.121,4,0,S3-27_percent,0.0,0.995,1,1
4,4,Billy Ray Cyrus,0.111,5,0,S3-27_percent,0.0,0.995,1,1
4,4,Laila Ali,0.111,5,0,S3-27_percent,0.0,0.995,1,1
4,4,John Ratzenberger,0.084,7,0,S3-27_percent,-0.0,0.995,1,1
4,4,Leeza Gibbons,0.084,7,1,S3-27_percent,0.0,0.1382222222222222,1,1
4,4,Clyde Drexler,0.079,9,0,S3-27_percent,0.0050000000000000044,1.0,1,1
4,5,Apolo Anton Ohno,0.17,1,0,S3-27_percent,0.0,1.0,1,1
4,5,Laila Ali,0.159,2,0,S3-27_percent,0.0,1.0,1,1
4,5,Joey Fatone,0.142,3,0,S3-27_percent,0.0,1.0,1,1
4,5,Ian Ziering,0.136,4,0,S3-27_percent,0.0,1.0,1,1
4,5,Heather Mills,0.119,5,0,S3-27_percent,0.0,1.0,1,1
4,5,John Ratzenberger,0.102,6,0,S3-27_percent,0.0,1.0,1,1
4,5,Billy Ray Cyrus,0.097,7,0,S3-27_percent,0.0,1.0,1,1
4,5,Clyde Drexler,0.074,8,1,S3-27_percent,0.0,0.175875,1,1
4,6,Apolo Anton Ohno,0.165,1,0,S3-27_percent,0.0,0.966,1,1
4,6,Laila Ali,0.165,1,0,S3-27_percent,0.0,0.966,1,1
4,6,Joey Fatone,0.159,3,0,S3-27_percent,0.0,0.966,1,1
4,6,Ian Ziering,0.141,4,0,S3-27_percent,0.0,0.966,1,1
4,6,Heather Mills,0.135,5,1,S3-27_percent,0.0,0.15085714285714286,1,1
4,6,Billy Ray Cyrus,0.124,6,0,S3-27_percent,0.01100000000000001,0.977,1,1
4,6,John Ratzenberger,0.112,7,0,S3-27_percent,0.023000000000000007,0.989,1,1
4,7,Joey Fatone,0.191,1,0,S3-27_percent,0.0,0.977,1,1
4,7,Laila Ali,0.191,1,0,S3-27_percent,0.0,0.977,1,1
4,7,Apolo Anton Ohno,0.175,3,0,S3-27_percent,0.0,0.977,1,1
4,7,Ian Ziering,0.175,3,0,S3-27_percent,0.0,0.977,1,1
4,7,John Ratzenberger,0.146,5,1,S3-27_percent,0.0,0.18749999999999997,1,1
4,7,Billy Ray Cyrus,0.123,6,0,S3-27_percent,0.022999999999999993,1.0,1,1
4,8,Apolo Anton Ohno,0.231,1,0,S3-27_percent,0.0,1.0,1,1
4,8,Joey Fatone,0.219,2,0,S3-27_percent,0.0,1.0,1,1
4,8,Laila Ali,0.211,3,0,S3-27_percent,0.0,1.0,1,1
4,8,Ian Ziering,0.187,4,0,S3-27_percent,0.0,1.0,1,1
4,8,Billy Ray Cyrus,0.151,5,1,S3-27_percent,0.0,0.24880000000000005,1,1
4,9,Joey Fatone,0.253,1,0,S3-27_percent,0.0,1.0,1,1
4,9,Laila Ali,0.253,1,0,S3-27_percent,0.0,1.0,1,1
4,9,Apolo Anton Ohno,0.249,3,0,S3-27_percent,0.0,1.0,1,1
4,9,Ian Ziering,0.245,4,1,S3-27_percent,0.0,0.255,1,1
4,10,Apolo Anton Ohno,0.34,1,0,S3-27_percent,0.0,1.0,1,1
4,10,Joey Fatone,0.332,2,0,S3-27_percent,0.0,1.0,1,1
4,10,Laila Ali,0.328,3,0,S3-27_percent,0.0,1.0,1,1
5,1,Sabrina Bryan,0.101,1,0,S3-27_percent,0.0,1.0,1,1
5,1,Helio Castroneves,0.097,2,0,S3-27_percent,0.0,1.0,1,1
5,1,Jane Seymour,0.093,3,0,S3-27_percent,0.0,1.0,1,1
5,1,Mel B,0.093,3,0,S3-27_percent,0.0,1.0,1,1
5,1,Albert Reed,0.082,5,0,S3-27_percent,0.0,1.0,1,1
5,1,Cameron Mathison,0.082,5,0,S3-27_percent,0.0,1.0,1,1
5,1,Jennie Garth,0.082,5,0,S3-27_percent,0.0,1.0,1,1
5,1,Marie Osmond,0.082,5,0,S3-27_percent,0.0,1.0,1,1
5,1,Mark Cuban,0.082,5,0,S3-27_percent,0.0,1.0,1,1
5,1,Wayne Newton,0.074,10,0,S3-27_percent,0.0,1.0,1,1
5,1,Floyd Mayweather Jr. ,0.07,11,0,S3-27_percent,0.0,1.0,1,1
5,1,Josie Maran,0.062,12,1,S3-27_percent,0.0,0.10466666666666664,1,1
5,2,Helio Castroneves,0.113,1,0,S3-27_percent,0.0,0.963,1,1
5,2,Sabrina Bryan,0.109,2,0,S3-27_percent,0.0,0.963,1,1
5,2,Marie Osmond,0.101,3,0,S3-27_percent,0.0,0.963,1,1
5,2,Mel B,0.097,4,0,S3-27_percent,0.0,0.963,1,1
5,2,Albert Reed,0.088,5,1,S3-27_percent,0.0,0.09372727272727273,1,1
5,2,Cameron Mathison,0.088,5,0,S3-27_percent,-0.0,0.963,1,1
5,2,Floyd Mayweather Jr. ,0.088,5,0,S3-27_percent,0.0,0.963,1,1
5,2,Jane Seymour,0.088,5,0,S3-27_percent,0.0,0.963,1,1
5,2,Jennie Garth,0.088,5,0,S3-27_percent,0.0,0.963,1,1
5,2,Mark Cuban,0.076,10,0,S3-27_percent,0.011999999999999997,0.975,1,1
5,2,Wayne Newton,0.063,11,0,S3-27_percent,0.024999999999999994,0.988,1,1
5,3,Jane Seymour,0.113,1,0,S3-27_percent,0.0,1.0,1,1
5,3,Mel B,0.113,1,0,S3-27_percent,0.0,1.0,1,1
5,3,Sabrina Bryan,0.113,1,0,S3-27_percent,0.0,1.0,1,1
5,3,Jennie Garth,0.109,4,0,S3-27_percent,0.0,1.0,1,1
5,3,Marie Osmond,0.109,4,0,S3-27_percent,0.0,1.0,1,1
5,3,Helio Castroneves,0.1,6,0,S3-27_percent,0.0,1.0,1,1
5,3,Cameron Mathison,0.096,7,0,S3-27_percent,0.0,1.0,1,1
5,3,Floyd Mayweather Jr. ,0.088,8,0,S3-27_percent,0.0,1.0,1,1
5,3,Mark Cuban,0.084,9,0,S3-27_percent,0.0,1.0,1,1
5,3,Wayne Newton,0.075,10,1,S3-27_percent,0.0,0.12499999999999997,1,1
5,4,Sabrina Bryan,0.128,1,0,S3-27_percent,0.0,0.996,1,1
5,4,Cameron Mathison,0.115,2,0,S3-27_percent,0.0,0.996,1,1
5,4,Helio Castroneves,0.115,2,0,S3-27_percent,0.0,0.996,1,1
5,4,Jennie Garth,0.115,2,0,S3-27_percent,0.0,0.996,1,1
5,4,Jane Seymour,0.111,5,0,S3-27_percent,0.0,0.996,1,1
5,4,Marie Osmond,0.111,5,0,S3-27_percent,0.0,0.996,1,1
5,4,Mel B,0.111,5,0,S3-27_percent,0.0,0.996,1,1
5,4,Floyd Mayweather Jr. ,0.098,8,1,S3-27_percent,0.0,0.12399999999999993,1,1
5,4,Mark Cuban,0.094,9,0,S3-27_percent,0.0040000000000000036,1.0,1,1
5,5,Mel B,0.146,1,0,S3-27_percent,0.0,1.0,1,1
5,5,Sabrina Bryan,0.141,2,0,S3-27_percent,0.0,1.0,1,1
5,5,Cameron Mathison,0.131,3,0,S3-27_percent,0.0,1.0,1,1
5,5,Jane Seymour,0.131,3,0,S3-27_percent,0.0,1.0,1,1
5,5,Jennie Garth,0.126,5,0,S3-27_percent,0.0,1.0,1,1
5,5,Helio Castroneves,0.116,6,0,S3-27_percent,0.0,1.0,1,1
5,5,Marie Osmond,0.106,7,0,S3-27_percent,-0.0,1.0,1,1
5,5,Mark Cuban,0.106,7,1,S3-27_percent,0.0,0.14437499999999998,1,1
5,6,Mel B,0.167,1,0,S3-27_percent,0.0,0.972,1,1
5,6,Helio Castroneves,0.156,2,0,S3-27_percent,0.0,0.972,1,1
5,6,Jennie Garth,0.15,3,0,S3-27_percent,0.0,0.972,1,1
5,6,Cameron Mathison,0.139,4,0,S3-27_percent,-0.0,0.972,1,1
5,6,Sabrina Bryan,0.139,4,1,S3-27_percent,0.0,0.14685714285714285,1,1
5,6,Marie Osmond,0.128,6,0,S3-27_percent,0.01100000000000001,0.983,1,1
5,6,Jane Seymour,0.122,7,0,S3-27_percent,0.017000000000000015,0.989,1,1
5,7,Mel B,0.173,1,0,S3-27_percent,0.0,1.0,1,1
5,7,Jennie Garth,0.17,2,0,S3-27_percent,0.0,1.0,1,1
5,7,Helio Castroneves,0.167,3,0,S3-27_percent,0.0,1.0,1,1
5,7,Marie Osmond,0.167,3,0,S3-27_percent,0.0,1.0,1,1
5,7,Cameron Mathison,0.163,5,0,S3-27_percent,0.0,1.0,1,1
5,7,Jane Seymour,0.16,6,1,S3-27_percent,0.0,0.17333333333333337,1,1
5,8,Helio Castroneves,0.217,1,0,S3-27_percent,0.0,0.988,1,1
5,8,Mel B,0.213,2,0,S3-27_percent,0.0,0.988,1,1
5,8,Cameron Mathison,0.194,3,1,S3-27_percent,0.0,0.206,1,1
5,8,Jennie Garth,0.19,4,0,S3-27_percent,0.0040000000000000036,0.992,1,1
5,8,Marie Osmond,0.186,5,0,S3-27_percent,0.008000000000000007,0.996,1,1
5,9,Helio Castroneves,0.256,1,0,S3-27_percent,0.0,0.991,1,1
5,9,Mel B,0.256,1,0,S3-27_percent,0.0,0.991,1,1
5,9,Jennie Garth,0.248,3,1,S3-27_percent,0.0,0.25175000000000003,1,1
5,9,Marie Osmond,0.239,4,0,S3-27_percent,0.009000000000000008,1.0,1,1
5,10,Mel B,0.357,1,0,S3-27_percent,0.0,1.0,1,1
5,10,Helio Castroneves,0.353,2,0,S3-27_percent,0.0,1.0,1,1
5,10,Marie Osmond,0.29,3,0,S3-27_percent,0.0,1.0,1,1
6,1,Kristi Yamaguchi,0.111,1,0,S3-27_percent,0.0,1.0,1,1
6,1,Mario,0.099,2,0,S3-27_percent,0.0,1.0,1,1
6,1,Priscilla Presley,0.099,2,0,S3-27_percent,0.0,1.0,1,1
6,1,Jason Taylor,0.091,4,0,S3-27_percent,0.0,1.0,1,1
6,1,Marlee Matlin,0.091,4,0,S3-27_percent,0.0,1.0,1,1
6,1,Cristian de la Fuente,0.086,6,0,S3-27_percent,0.0,1.0,1,1
6,1,Shannon Elizabeth,0.086,6,0,S3-27_percent,0.0,1.0,1,1
6,1,Marissa Jaret Winokur,0.074,8,0,S3-27_percent,0.0,1.0,1,1
6,1,Steve Guttenberg,0.074,8,0,S3-27_percent,0.0,1.0,1,1
6,1,Penn Jillette,0.066,10,0,S3-27_percent,0.0,1.0,1,1
6,1,Adam Carolla,0.062,11,0,S3-27_percent,0.0,1.0,1,1
6,1,Monica Seles,0.062,11,0,S3-27_percent,0.0,1.0,1,1
6,2,Jason Taylor,0.105,1,0,S3-27_percent,0.0,0.996,1,1
6,2,Kristi Yamaguchi,0.105,1,0,S3-27_percent,0.0,0.996,1,1
6,2,Mario,0.101,3,0,S3-27_percent,0.0,0.996,1,1
6,2,Marlee Matlin,0.093,4,0,S3-27_percent,0.0,0.996,1,1
6,2,Shannon Elizabeth,0.093,4,0,S3-27_percent,0.0,0.996,1,1
6,2,Marissa Jaret Winokur,0.082,6,0,S3-27_percent,0.0,0.996,1,1
6,2,Priscilla Presley,0.082,6,0,S3-27_percent,0.0,0.996,1,1
6,2,Cristian de la Fuente,0.078,8,0,S3-27_percent,0.0,0.996,1,1
6,2,Adam Carolla,0.074,9,0,S3-27_percent,0.0,0.996,1,1
6,2,Penn Jillette,0.066,10,1,S3-27_percent,0.0,0.11045454545454543,1,1
6,2,Steve Guttenberg,0.062,11,0,S3-27_percent,0.0040000000000000036,1.0,1,1
6,2,Monica Seles,0.058,12,1,S3-27_percent,0.0,0.11772727272727271,1,1
6,3,Kristi Yamaguchi,0.118,1,0,S3-27_percent,0.0,0.991,1,1
6,3,Priscilla Presley,0.114,2,0,S3-27_percent,0.0,0.991,1,1
6,3,Cristian de la Fuente,0.11,3,0,S3-27_percent,0.0,0.991,1,1
6,3,Shannon Elizabeth,0.105,4,0,S3-27_percent,0.0,0.991,1,1
6,3,Jason Taylor,0.101,5,0,S3-27_percent,0.0,0.991,1,1
6,3,Adam Carolla,0.092,6,0,S3-27_percent,-0.0,0.991,1,1
6,3,Mario,0.092,6,0,S3-27_percent,0.0,0.991,1,1
6,3,Marlee Matlin,0.092,6,0,S3-27_percent,0.0,0.991,1,1
