season,week,celebrity_name,judge_percent,judge_rank,eliminated_this_week
5,2,Marie Osmond,0.101,3,0
5,2,Mel B,0.097,4,0
5,2,Albert Reed,0.088,5,1
5,2,Cameron Mathison,0.088,5,0
5,2,Floyd Mayweather Jr. ,0.088,5,0
5,2,Jane Seymour,0.088,5,0
5,2,Jennie Garth,0.088,5,0
5,2,Mark Cuban,0.076,10,0
5,2,Wayne Newton,0.063,11,0
5,3,Jane Seymour,0.113,1,0
5,3,Mel B,0.113,1,0
5,3,Sabrina Bryan,0.113,1,0
5,3,Jennie Garth,0.109,4,0
5,3,Marie Osmond,0.109,4,0
5,3,Helio Castroneves,0.1,6,0
5,3,Cameron Mathison,0.096,7,0
5,3,Floyd Mayweather Jr. ,0.088,8,0
5,3,Mark Cuban,0.084,9,0
5,3,Wayne Newton,0.075,10,1
5,4,Sabrina Bryan,0.128,1,0
5,4,Cameron Mathison,0.115,2,0
5,4,Helio Castroneves,0.115,2,0
5,4,Jennie Garth,0.115,2,0
5,4,Jane Seymour,0.111,5,0
5,4,Marie Osmond,0.111,5,0
5,4,Mel B,0.111,5,0
5,4,Floyd Mayweather Jr. ,0.098,8,1
5,4,Mark Cuban,0.094,9,0
5,5,Mel B,0.146,1,0
5,5,Sabrina Bryan,0.141,2,0
5,5,Cameron Mathison,0.131,3,0
5,5,Jane Seymour,0.131,3,0
5,5,Jennie Garth,0.126,5,0
5,5,Helio Castroneves,0.116,6,0
5,5,Marie Osmond,0.106,7,0
5,5,Mark Cuban,0.106,7,1
5,6,Mel B,0.167,1,0
5,6,Helio Castroneves,0.156,2,0
5,6,Jennie Garth,0.15,3,0
5,6,Cameron Mathison,0.139,4,0
5,6,Sabrina Bryan,0.139,4,1
5,6,Marie Osmond,0.128,6,0
5,6,Jane Seymour,0.122,7,0
5,7,Mel B,0.173,1,0
5,7,Jennie Garth,0.17,2,0
5,7,Helio Castroneves,0.167,3,0
5,7,Marie Osmond,0.167,3,0
5,7,Cameron Mathison,0.163,5,0
5,7,Jane Seymour,0.16,6,1
5,8,Helio Castroneves,0.217,1,0
5,8,Mel B,0.213,2,0
5,8,Cameron Mathison,0.194,3,1
5,8,Jennie Garth,0.19,4,0
5,8,Marie Osmond,0.186,5,0
5,9,Helio Castroneves,0.256,1,0
5,9,Mel B,0.256,1,0
5,9,Jennie Garth,0.248,3,1
5,9,Marie Osmond,0.239,4,0
5,10,Mel B,0.357,1,0
5,10,Helio Castroneves,0.353,2,0
5,10,Marie Osmond,0.29,3,0
6,1,Kristi Yamaguchi,0.111,1,0
6,1,Mario,0.099,2,0
6,1,Priscilla Presley,0.099,2,0
6,1,Jason Taylor,0.091,4,0
6,1,Marlee Matlin,0.091,4,0
6,1,Cristian de la Fuente,0.086,6,0
6,1,Shannon Elizabeth,0.086,6,0
6,1,Marissa Jaret Winokur,0.074,8,0
6,1,Steve Guttenberg,0.074,8,0
6,1,Penn Jillette,0.066,10,0
6,1,Adam Carolla,0.062,11,0
6,1,Monica Seles,0.062,11,0
6,2,Jason Taylor,0.105,1,0
6,2,Kristi Yamaguchi,0.105,1,0
6,2,Mario,0.101,3,0
6,2,Marlee Matlin,0.093,4,0
6,2,Shannon Elizabeth,0.093,4,0
6,2,Marissa Jaret Winokur,0.082,6,0
6,2,Priscilla Presley,0.082,6,0
6,2,Cristian de la Fuente,0.078,8,0
6,2,Adam Carolla,0.074,9,0
6,2,Penn Jillette,0.066,10,1
6,2,Steve Guttenberg,0.062,11,0
6,2,Monica Seles,0.058,12,1
6,3,Kristi Yamaguchi,0.118,1,0
6,3,Priscilla Presley,0.114,2,0
6,3,Cristian de la Fuente,0.11,3,0
6,3,Shannon Elizabeth,0.105,4,0
6,3,Jason Taylor,0.101,5,0
6,3,Adam Carolla,0.092,6,0
6,3,Mario,0.092,6,0
6,3,Marlee Matlin,0.092,6,0
6,3,Steve Guttenberg,0.092,6,1
6,3,Marissa Jaret Winokur,0.083,10,0
6,4,Jason Taylor,0.129,1,0
6,4,Kristi Yamaguchi,0.129,1,0
6,4,Shannon Elizabeth,0.124,3,0
6,4,Cristian de la Fuente,0.116,4,0
6,4,Mario,0.107,5,0
6,4,Marissa Jaret Winokur,0.107,5,0
6,4,Marlee Matlin,0.107,5,0
6,4,Priscilla Presley,0.098,8,0
6,4,Adam Carolla,0.084,9,1
6,5,Kristi Yamaguchi,0.148,1,0
6,5,Jason Taylor,0.138,2,0
6,5,Mario,0.138,2,0
6,5,Marissa Jaret Winokur,0.122,4,0
6,5,Cristian de la Fuente,0.117,5,0
6,5,Shannon Elizabeth,0.117,5,0
6,5,Marlee Matlin,0.112,7,0
6,5,Priscilla Presley,0.107,8,1
6,6,Kristi Yamaguchi,0.167,1,0
6,6,Mario,0.156,2,0
6,6,Cristian de la Fuente,0.15,3,0
6,6,Marissa Jaret Winokur,0.144,4,0
6,6,Jason Taylor,0.133,5,0
6,6,Shannon Elizabeth,0.133,5,0
6,6,Marlee Matlin,0.117,7,1
6,7,Jason Taylor,0.178,1,0
6,7,Kristi Yamaguchi,0.175,2,0
6,7,Marissa Jaret Winokur,0.168,3,0
6,7,Mario,0.165,4,0
6,7,Shannon Elizabeth,0.165,4,1
6,7,Cristian de la Fuente,0.149,6,0
6,8,Cristian de la Fuente,0.213,1,0
6,8,Kristi Yamaguchi,0.206,2,0
6,8,Mario,0.199,3,1
6,8,Jason Taylor,0.195,4,0
6,8,Marissa Jaret Winokur,0.187,5,0
6,9,Kristi Yamaguchi,0.259,1,0
6,9,Cristian de la Fuente,0.255,2,0
6,9,Jason Taylor,0.25,3,0
6,9,Marissa Jaret Winokur,0.236,4,1
6,10,Kristi Yamaguchi,0.355,1,0
6,10,Jason Taylor,0.337,2,0
6,10,Cristian de la Fuente,0.308,3,0
7,1,Brooke Burke,0.097,1,0
7,1,Toni Braxton,0.089,2,0
7,1,Lance Bass,0.085,3,0
7,1,Warren Sapp,0.085,3,0
7,1,Misty May-Treanor,0.083,5,0
7,1,Cody Linley,0.081,6,0
7,1,Maurice Greene,0.077,7,0
7,1,Kim Kardashian,0.073,8,0
7,1,Susan Lucci,0.073,8,0
7,1,Ted McGinley,0.073,8,1
7,1,Rocco DiSpirito,0.069,11,0
7,1,Cloris Leachman,0.063,12,0
7,1,Jeffrey Ross,0.048,13,1
7,2,Brooke Burke,0.109,1,0
7,2,Warren Sapp,0.109,1,0
7,2,Toni Braxton,0.104,3,0
7,2,Cody Linley,0.095,4,0
7,2,Misty May-Treanor,0.095,4,1
7,2,Susan Lucci,0.095,4,0
7,2,Lance Bass,0.09,7,0
7,2,Maurice Greene,0.086,8,0
7,2,Kim Kardashian,0.077,9,1
7,2,Rocco DiSpirito,0.072,10,0
7,2,Cloris Leachman,0.068,11,0
7,3,Brooke Burke,0.141,1,0
7,3,Warren Sapp,0.126,2,0
7,3,Maurice Greene,0.121,3,0
7,3,Lance Bass,0.111,4,0
7,3,Toni Braxton,0.111,4,0
7,3,Cody Linley,0.106,6,0
7,3,Susan Lucci,0.106,6,0
7,3,Rocco DiSpirito,0.101,8,0
7,3,Cloris Leachman,0.08,9,0
7,4,Brooke Burke,0.128,1,0
7,4,Lance Bass,0.128,1,0
7,4,Susan Lucci,0.118,3,0
7,4,Cody Linley,0.113,4,0
7,4,Cloris Leachman,0.108,5,0
7,4,Toni Braxton,0.108,5,0
7,4,Warren Sapp,0.108,5,0
7,4,Maurice Greene,0.099,8,0
7,4,Rocco DiSpirito,0.089,9,1
7,5,Brooke Burke,0.149,1,0
7,5,Cody Linley,0.144,2,0
7,5,Maurice Greene,0.138,3,0
7,5,Warren Sapp,0.128,4,0
7,5,Susan Lucci,0.113,5,0
7,5,Toni Braxton,0.113,5,1
7,5,Cloris Leachman,0.108,7,0
7,5,Lance Bass,0.108,7,0
7,6,Lance Bass,0.169,1,0
7,6,Brooke Burke,0.162,2,0
7,6,Warren Sapp,0.156,3,0
7,6,Cody Linley,0.144,4,0
7,6,Susan Lucci,0.144,4,0
7,6,Maurice Greene,0.131,6,0
7,6,Cloris Leachman,0.094,7,1
7,7,Brooke Burke,0.204,1,0
7,7,Lance Bass,0.17,2,0
7,7,Maurice Greene,0.17,2,0
7,7,Susan Lucci,0.163,4,1
7,7,Cody Linley,0.15,5,0
7,7,Warren Sapp,0.143,6,0
7,8,Brooke Burke,0.216,1,0
7,8,Warren Sapp,0.212,2,0
7,8,Lance Bass,0.196,3,0
7,8,Cody Linley,0.188,4,0
7,8,Maurice Greene,0.188,4,1
7,9,Lance Bass,0.284,1,0
7,9,Brooke Burke,0.244,2,0
7,9,Warren Sapp,0.244,2,0
7,9,Cody Linley,0.229,4,1
7,10,Brooke Burke,0.353,1,0
7,10,Lance Bass,0.324,2,0
7,10,Warren Sapp,0.324,2,0
8,1,Gilles Marini,0.099,1,0
8,1,Melissa Rycroft,0.095,2,0
8,1,Shawn Johnson,0.095,2,0
8,1,Lil' Kim,0.086,4,0
8,1,Chuck Wicks,0.082,5,0
8,1,David Alan Grier,0.078,6,0
8,1,Denise Richards,0.074,7,0
8,1,Holly Madison,0.074,7,0
8,1,Belinda Carlisle,0.07,9,0
8,1,Steve-O,0.07,9,0
8,1,Lawrence Taylor,0.066,11,0
8,1,Ty Murray,0.058,12,0
8,1,Steve Wozniak,0.053,13,0
8,2,Gilles Marini,0.102,1,0
8,2,Melissa Rycroft,0.098,2,0
8,2,Shawn Johnson,0.091,3,0
8,2,Lil' Kim,0.087,4,0
8,2,Denise Richards,0.079,5,0
8,2,Chuck Wicks,0.075,6,0
8,2,Lawrence Taylor,0.075,6,0
8,2,Ty Murray,0.075,6,0
8,2,Belinda Carlisle,0.068,9,1
8,2,Holly Madison,0.068,9,0
8,2,David Alan Grier,0.064,11,0
8,2,Steve Wozniak,0.064,11,0
8,2,Steve-O,0.053,13,0
8,3,Gilles Marini,0.106,1,0
8,3,Melissa Rycroft,0.106,1,0
8,3,Shawn Johnson,0.106,1,0
8,3,Lil' Kim,0.098,4,0
8,3,David Alan Grier,0.094,5,0
8,3,Chuck Wicks,0.091,6,0
8,3,Ty Murray,0.091,6,0
8,3,Lawrence Taylor,0.079,8,0
8,3,Holly Madison,0.067,9,0
8,3,Denise Richards,0.063,10,1
8,3,Steve-O,0.059,11,0
8,3,Steve Wozniak,0.039,12,0
8,4,Gilles Marini,0.124,1,0
8,4,Melissa Rycroft,0.12,2,0
8,4,Lil' Kim,0.112,3,0
8,4,Shawn Johnson,0.103,4,0
8,4,Ty Murray,0.103,4,0
8,4,Chuck Wicks,0.091,6,0
8,4,David Alan Grier,0.091,6,0
8,4,Lawrence Taylor,0.079,8,0
8,4,Holly Madison,0.066,9,1
8,4,Steve-O,0.062,10,0
8,4,Steve Wozniak,0.05,11,1
8,5,Gilles Marini,0.138,1,0
8,5,Lil' Kim,0.124,2,0
8,5,Shawn Johnson,0.124,2,0
8,5,Melissa Rycroft,0.119,4,0
8,5,Chuck Wicks,0.11,5,0
8,5,David Alan Grier,0.105,6,1
8,5,Ty Murray,0.1,7,0
8,5,Lawrence Taylor,0.095,8,0
8,5,Steve-O,0.086,9,0
8,6,Lil' Kim,0.151,1,0
8,6,Melissa Rycroft,0.145,2,0
8,6,Gilles Marini,0.14,3,0
8,6,Shawn Johnson,0.14,3,0
8,6,Chuck Wicks,0.124,5,0
8,6,Lawrence Taylor,0.118,6,0
8,6,Ty Murray,0.097,7,0
8,6,Steve-O,0.086,8,1
8,7,Melissa Rycroft,0.159,1,0
8,7,Shawn Johnson,0.154,2,0
8,7,Chuck Wicks,0.148,3,0
8,7,Gilles Marini,0.148,3,0
8,7,Lil' Kim,0.143,5,0
8,7,Ty Murray,0.132,6,0
8,7,Lawrence Taylor,0.115,7,1
8,8,Lil' Kim,0.179,1,0
8,8,Gilles Marini,0.176,2,0
8,8,Shawn Johnson,0.167,3,0
8,8,Ty Murray,0.167,3,0
8,8,Chuck Wicks,0.163,5,1
8,8,Melissa Rycroft,0.147,6,0
8,9,Melissa Rycroft,0.213,1,0
8,9,Gilles Marini,0.21,2,0
8,9,Shawn Johnson,0.21,2,0
8,9,Lil' Kim,0.195,4,1
8,9,Ty Murray,0.172,5,0
8,10,Gilles Marini,0.274,1,0
8,10,Shawn Johnson,0.256,2,0
8,10,Melissa Rycroft,0.251,3,0
8,10,Ty Murray,0.219,4,1
8,11,Shawn Johnson,0.343,1,0
8,11,Gilles Marini,0.331,2,0
8,11,Melissa Rycroft,0.326,3,0
9,1,Joanna Krupa,0.084,1,0
9,1,Aaron Carter,0.079,2,0
9,1,Mya,0.076,3,0
9,1,Kelly Osbourne,0.076,4,0
9,1,Donny Osmond,0.074,5,0
9,1,Mark Dacascos,0.071,6,0
9,1,Louie Vito,0.067,7,0
9,1,Natalie Coughlin,0.067,7,0
9,1,Melissa Joan Hart,0.059,9,0
9,1,Chuck Liddell,0.054,10,0
9,1,Debi Mazar,0.054,10,0
9,1,Kathy Ireland,0.049,12,0
9,1,Tom DeLay,0.049,12,0
9,1,Michael Irvin,0.047,14,0
9,1,Ashley Hamiliton,0.047,15,1
9,1,Macy Gray,0.047,15,1
9,2,Aaron Carter,0.092,1,0
9,2,Mya,0.092,1,0
9,2,Donny Osmond,0.085,3,0
9,2,Debi Mazar,0.071,4,0
9,2,Mark Dacascos,0.071,4,0
9,2,Natalie Coughlin,0.071,4,0
9,2,Joanna Krupa,0.068,7,0
9,2,Michael Irvin,0.068,7,0
9,2,Chuck Liddell,0.065,9,0
9,2,Kelly Osbourne,0.065,9,0
9,2,Louie Vito,0.065,9,0
9,2,Melissa Joan Hart,0.065,9,0
9,2,Kathy Ireland,0.061,13,1
9,2,Tom DeLay,0.061,13,0
9,3,Mya,0.105,1,0
9,3,Natalie Coughlin,0.101,2,0
9,3,Joanna Krupa,0.089,3,0
9,3,Aaron Carter,0.081,4,0
9,3,Donny Osmond,0.081,4,0
9,3,Kelly Osbourne,0.078,6,0
9,3,Louie Vito,0.078,6,0
9,3,Melissa Joan Hart,0.074,8,0
9,3,Mark Dacascos,0.07,9,0
9,3,Chuck Liddell,0.066,10,0
9,3,Debi Mazar,0.066,10,1
9,3,Tom DeLay,0.058,12,1
9,3,Michael Irvin,0.054,13,0
9,4,Melissa Joan Hart,0.116,1,0
9,4,Mya,0.116,1,0
9,4,Joanna Krupa,0.107,3,0
9,4,Donny Osmond,0.099,4,0
9,4,Natalie Coughlin,0.099,4,0
9,4,Kelly Osbourne,0.095,6,0
9,4,Mark Dacascos,0.091,7,0
9,4,Aaron Carter,0.074,8,0
9,4,Chuck Liddell,0.07,9,1
9,4,Louie Vito,0.066,10,0
9,4,Michael Irvin,0.066,10,0
9,5,Donny Osmond,0.12,1,0
9,5,Mya,0.112,2,0
9,5,Mark Dacascos,0.107,3,0
9,5,Aaron Carter,0.099,4,0
9,5,Joanna Krupa,0.099,4,0
9,5,Kelly Osbourne,0.099,4,0
9,5,Melissa Joan Hart,0.095,7,0
9,5,Louie Vito,0.091,8,0
9,5,Natalie Coughlin,0.091,8,1
9,5,Michael Irvin,0.087,10,0
9,6,Joanna Krupa,0.138,1,0
9,6,Mya,0.127,2,0
9,6,Aaron Carter,0.127,3,0
9,6,Mark Dacascos,0.123,4,0
9,6,Donny Osmond,0.119,5,0
9,6,Kelly Osbourne,0.096,6,0
9,6,Louie Vito,0.092,7,1
9,6,Melissa Joan Hart,0.092,8,1
9,6,Michael Irvin,0.085,9,0
9,7,Joanna Krupa,0.157,1,0
9,7,Aaron Carter,0.151,2,0
9,7,Donny Osmond,0.148,3,0
9,7,Kelly Osbourne,0.148,3,0
9,7,Mya,0.14,5,0
9,7,Michael Irvin,0.134,6,1
9,7,Mark Dacascos,0.123,7,1
9,8,Mya,0.225,1,0
9,8,Joanna Krupa,0.198,2,0
9,8,Kelly Osbourne,0.195,3,0
9,8,Aaron Carter,0.191,4,1
9,8,Donny Osmond,0.191,4,0
9,9,Mya,0.272,1,0
9,9,Joanna Krupa,0.253,2,1
9,9,Kelly Osbourne,0.244,3,0
9,9,Donny Osmond,0.231,4,0
9,10,Donny Osmond,0.351,1,0
9,10,Mya,0.343,2,0
9,10,Kelly Osbourne,0.306,3,0
10,1,Nicole Scherzinger,0.12,1,0
10,1,Evan Lysacek,0.11,2,0
10,1,Erin Andrews,0.1,3,0
10,1,Pamela Anderson,0.1,3,0
10,1,Jake Pavelka,0.096,5,0
10,1,Chad Ochocinco,0.086,6,0
10,1,Niecy Nash,0.086,6,0
10,1,Shannen Doherty,0.086,6,0
10,1,Kate Gosselin,0.077,9,0
10,1,Aiden Turner,0.072,10,0
10,1,Buzz Aldrin,0.067,11,0
10,2,Nicole Scherzinger,0.127,1,0
10,2,Evan Lysacek,0.109,2,0
10,2,Erin Andrews,0.105,3,0
10,2,Pamela Anderson,0.1,4,0
10,2,Niecy Nash,0.095,5,0
10,2,Jake Pavelka,0.091,6,0
10,2,Shannen Doherty,0.091,6,1
10,2,Aiden Turner,0.086,8,0
10,2,Chad Ochocinco,0.073,9,0
10,2,Kate Gosselin,0.068,10,0
10,2,Buzz Aldrin,0.055,11,0
10,3,Evan Lysacek,0.128,1,0
10,3,Erin Andrews,0.113,2,0
10,3,Nicole Scherzinger,0.113,2,0
10,3,Jake Pavelka,0.103,4,0
10,3,Niecy Nash,0.103,4,0
10,3,Pamela Anderson,0.103,4,0
10,3,Aiden Turner,0.099,7,0
10,3,Chad Ochocinco,0.099,7,0
10,3,Kate Gosselin,0.074,9,0
10,3,Buzz Aldrin,0.064,10,1
10,4,Evan Lysacek,0.14,1,0
10,4,Nicole Scherzinger,0.135,2,0
10,4,Pamela Anderson,0.127,3,0
10,4,Chad Ochocinco,0.119,4,0
10,4,Erin Andrews,0.105,5,0
10,4,Jake Pavelka,0.102,6,0
10,4,Niecy Nash,0.097,7,0
10,4,Aiden Turner,0.089,8,1
10,4,Kate Gosselin,0.086,9,0
10,5,Nicole Scherzinger,0.168,1,0
10,5,Evan Lysacek,0.156,2,0
10,5,Jake Pavelka,0.133,3,0
10,5,Erin Andrews,0.127,4,0
10,5,Pamela Anderson,0.121,5,0
10,5,Chad Ochocinco,0.104,6,0
10,5,Niecy Nash,0.104,6,0
10,5,Kate Gosselin,0.087,8,1
10,6,Nicole Scherzinger,0.172,1,0
10,6,Erin Andrews,0.163,2,0
