season,week,celebrity_name,judge_percent,judge_rank,fan_vote_percent,fan_vote_rank,total_percent,total_rank
4,3,Clyde Drexler,0.073,10,0.106,1,0.179,11
4,4,Joey Fatone,0.147,1,0.117,3,0.264,4
4,4,Apolo Anton Ohno,0.137,2,0.117,1,0.254,3
4,4,Ian Ziering,0.126,3,0.112,5,0.238,8
4,4,Heather Mills,0.121,4,0.105,8,0.226,12
4,4,Billy Ray Cyrus,0.111,5,0.113,4,0.224,9
4,4,Laila Ali,0.111,5,0.117,2,0.228,7
4,4,John Ratzenberger,0.084,7,0.111,6,0.195,13
4,4,Leeza Gibbons,0.084,7,0.099,9,0.183,16
4,4,Clyde Drexler,0.079,9,0.108,7,0.187,16
4,5,Apolo Anton Ohno,0.17,1,0.135,1,0.305,2
4,5,Laila Ali,0.159,2,0.135,2,0.294,4
4,5,Joey Fatone,0.142,3,0.135,3,0.277,6
4,5,Ian Ziering,0.136,4,0.125,5,0.261,9
4,5,Heather Mills,0.119,5,0.11,8,0.229,13
4,5,John Ratzenberger,0.102,6,0.122,6,0.224,12
4,5,Billy Ray Cyrus,0.097,7,0.126,4,0.223,11
4,5,Clyde Drexler,0.074,8,0.112,7,0.186,15
4,6,Apolo Anton Ohno,0.165,1,0.158,1,0.323,2
4,6,Laila Ali,0.165,1,0.158,2,0.323,3
4,6,Joey Fatone,0.159,3,0.158,3,0.317,6
4,6,Ian Ziering,0.141,4,0.14,5,0.281,9
4,6,Heather Mills,0.135,5,0.111,7,0.246,12
4,6,Billy Ray Cyrus,0.124,6,0.141,4,0.265,10
4,6,John Ratzenberger,0.112,7,0.134,6,0.246,13
4,7,Joey Fatone,0.191,1,0.186,2,0.377,3
4,7,Laila Ali,0.191,1,0.186,1,0.377,2
4,7,Apolo Anton Ohno,0.175,3,0.186,3,0.361,6
4,7,Ian Ziering,0.175,3,0.154,5,0.329,8
4,7,John Ratzenberger,0.146,5,0.132,6,0.278,11
4,7,Billy Ray Cyrus,0.123,6,0.155,4,0.278,10
4,8,Apolo Anton Ohno,0.231,1,0.224,2,0.455,3
4,8,Joey Fatone,0.219,2,0.224,1,0.443,3
4,8,Laila Ali,0.211,3,0.224,3,0.435,6
4,8,Ian Ziering,0.187,4,0.168,4,0.355,8
4,8,Billy Ray Cyrus,0.151,5,0.16,5,0.311,10
4,9,Joey Fatone,0.253,1,0.274,1,0.527,2
4,9,Laila Ali,0.253,1,0.274,3,0.527,4
4,9,Apolo Anton Ohno,0.249,3,0.274,2,0.523,5
4,9,Ian Ziering,0.245,4,0.179,4,0.424,8
4,10,Apolo Anton Ohno,0.34,1,0.333,2,0.673,3
4,10,Joey Fatone,0.332,2,0.333,1,0.665,3
4,10,Laila Ali,0.328,3,0.333,3,0.661,6
11,1,Jennifer Grey,0.106,1,0.086,2,0.192,3
11,1,Brandy,0.101,2,0.085,5,0.186,7
11,1,Kyle Massey,0.101,2,0.086,1,0.187,3
11,1,Rick Fox,0.097,4,0.085,6,0.182,10
11,1,Audrina Patridge,0.084,5,0.084,8,0.168,13
11,1,Kurt Warner,0.084,5,0.086,4,0.17,9
11,1,Bristol Palin,0.079,7,0.086,3,0.165,10
11,1,Florence Henderson,0.079,7,0.084,7,0.163,14
11,1,Michael Bolton,0.07,9,0.079,11,0.149,20
11,1,David Hasselhoff,0.066,10,0.074,12,0.14,22
11,1,Margaret Cho,0.066,10,0.082,10,0.148,20
11,1,The Situation,0.066,10,0.083,9,0.149,19
11,2,Jennifer Grey,0.109,1,0.094,2,0.203,3
11,2,Audrina Patridge,0.104,2,0.09,8,0.194,10
11,2,Bristol Palin,0.1,3,0.094,3,0.194,6
11,2,Kyle Massey,0.1,3,0.094,1,0.194,4
11,2,Brandy,0.095,5,0.093,5,0.188,10
11,2,Kurt Warner,0.095,5,0.094,4,0.189,9
11,2,Rick Fox,0.095,5,0.092,6,0.187,11
11,2,Florence Henderson,0.086,8,0.091,7,0.177,15
11,2,Margaret Cho,0.081,9,0.087,10,0.168,19
11,2,The Situation,0.081,9,0.089,9,0.17,18
11,2,Michael Bolton,0.054,11,0.083,11,0.137,22
11,3,Audrina Patridge,0.118,1,0.097,8,0.215,9
11,3,Brandy,0.109,2,0.102,5,0.211,7
11,3,Jennifer Grey,0.109,2,0.104,1,0.213,3
11,3,Rick Fox,0.109,2,0.101,6,0.21,8
11,3,Kurt Warner,0.104,5,0.104,4,0.208,9
11,3,Kyle Massey,0.104,5,0.104,3,0.208,8
11,3,Florence Henderson,0.09,7,0.098,7,0.188,14
11,3,The Situation,0.09,7,0.095,9,0.185,16
11,3,Bristol Palin,0.086,9,0.104,2,0.19,11
11,3,Margaret Cho,0.081,10,0.091,10,0.172,20
11,4,Jennifer Grey,0.156,1,0.118,3,0.274,4
11,4,Brandy,0.134,2,0.113,5,0.247,7
11,4,Audrina Patridge,0.128,3,0.103,8,0.231,11
11,4,Kyle Massey,0.112,4,0.118,2,0.23,6
11,4,Rick Fox,0.109,5,0.11,6,0.219,11
11,4,Florence Henderson,0.098,6,0.105,7,0.203,13
11,4,Kurt Warner,0.095,7,0.116,4,0.211,11
11,4,Bristol Palin,0.089,8,0.118,1,0.207,9
11,4,The Situation,0.078,9,0.1,9,0.178,18
11,5,Brandy,0.148,1,0.126,5,0.274,6
11,5,Jennifer Grey,0.137,2,0.135,3,0.272,5
11,5,Kurt Warner,0.132,3,0.132,4,0.264,7
11,5,Rick Fox,0.132,3,0.12,6,0.252,9
11,5,Audrina Patridge,0.126,5,0.106,8,0.232,13
11,5,Florence Henderson,0.115,6,0.11,7,0.225,13
11,5,Kyle Massey,0.11,7,0.135,2,0.245,9
11,5,Bristol Palin,0.099,8,0.135,1,0.234,9
11,6,Brandy,0.174,1,0.14,5,0.314,6
11,6,Audrina Patridge,0.155,2,0.103,7,0.258,9
11,6,Rick Fox,0.145,3,0.13,6,0.275,9
11,6,Kyle Massey,0.145,4,0.158,3,0.303,7
11,6,Jennifer Grey,0.14,5,0.158,2,0.298,7
11,6,Bristol Palin,0.135,6,0.158,1,0.293,7
11,6,Kurt Warner,0.106,7,0.152,4,0.258,11
11,7,Brandy,0.175,1,0.153,5,0.328,6
11,7,Jennifer Grey,0.175,1,0.185,1,0.36,2
11,7,Kurt Warner,0.168,3,0.155,4,0.323,7
11,7,Rick Fox,0.165,4,0.135,6,0.3,10
11,7,Kyle Massey,0.161,5,0.185,3,0.346,8
11,7,Bristol Palin,0.156,6,0.185,2,0.341,8
11,8,Brandy,0.215,1,0.168,4,0.383,5
11,8,Jennifer Grey,0.215,1,0.224,2,0.439,3
11,8,Kyle Massey,0.211,3,0.224,1,0.435,4
11,8,Kurt Warner,0.181,4,0.161,5,0.342,9
11,8,Bristol Palin,0.177,5,0.224,3,0.401,8
11,9,Jennifer Grey,0.263,1,0.274,1,0.537,2
11,9,Kyle Massey,0.254,2,0.274,2,0.528,4
11,9,Brandy,0.25,3,0.179,4,0.429,7
11,9,Bristol Palin,0.232,4,0.274,3,0.506,7
11,10,Jennifer Grey,0.361,1,0.333,3,0.694,4
11,10,Kyle Massey,0.329,2,0.333,2,0.662,4
11,10,Bristol Palin,0.309,3,0.333,1,0.642,4
17,1,Amber Riley,0.105,1,0.084,5,0.189,6
17,1,Corbin Bleu,0.094,2,0.084,4,0.178,6
17,1,Elizabeth Berkley Lauren,0.094,2,0.084,6,0.178,8
17,1,Jack Osbourne,0.09,4,0.084,3,0.174,7
17,1,"Nicole ""Snooki"" Polizzi",0.09,4,0.084,8,0.174,12
17,1,Brant Daugherty,0.086,6,0.084,7,0.17,13
17,1,Christina Milian,0.086,6,0.083,9,0.169,15
17,1,Leah Remini,0.082,8,0.085,1,0.167,9
17,1,Valerie Harper,0.082,8,0.083,10,0.165,18
17,1,Bill Engvall,0.07,10,0.084,2,0.154,12
17,1,Keyshawn Johnson,0.066,11,0.079,12,0.145,23
17,1,Bill Nye,0.055,12,0.082,11,0.137,23
17,2,Corbin Bleu,0.098,1,0.085,4,0.183,5
17,2,Christina Milian,0.094,2,0.082,9,0.176,11
17,2,Elizabeth Berkley Lauren,0.094,2,0.085,6,0.179,8
17,2,Amber Riley,0.09,4,0.085,5,0.175,9
17,2,Jack Osbourne,0.09,4,0.085,3,0.175,7
17,2,Leah Remini,0.09,4,0.085,1,0.175,5
17,2,Brant Daugherty,0.086,7,0.084,7,0.17,14
17,2,Bill Engvall,0.079,8,0.085,2,0.164,10
17,2,"Nicole ""Snooki"" Polizzi",0.075,9,0.084,8,0.159,17
17,2,Valerie Harper,0.071,10,0.082,10,0.153,20
17,2,Keyshawn Johnson,0.068,11,0.077,12,0.145,23
17,2,Bill Nye,0.064,12,0.081,11,0.145,23
17,3,Brant Daugherty,0.106,1,0.092,7,0.198,8
17,3,Christina Milian,0.102,2,0.088,9,0.19,11
17,3,Corbin Bleu,0.102,2,0.093,4,0.195,6
17,3,Elizabeth Berkley Lauren,0.098,4,0.092,6,0.19,10
17,3,"Nicole ""Snooki"" Polizzi",0.098,4,0.091,8,0.189,12
17,3,Amber Riley,0.094,6,0.093,5,0.187,11
17,3,Bill Engvall,0.094,6,0.093,2,0.187,8
17,3,Leah Remini,0.094,6,0.094,1,0.188,7
17,3,Jack Osbourne,0.086,9,0.093,3,0.179,12
17,3,Bill Nye,0.063,10,0.084,11,0.147,21
17,3,Valerie Harper,0.063,10,0.087,10,0.15,20
17,4,Amber Riley,0.114,1,0.103,4,0.217,5
17,4,Corbin Bleu,0.114,1,0.103,3,0.217,4
17,4,Elizabeth Berkley Lauren,0.114,1,0.101,6,0.215,7
17,4,Christina Milian,0.101,4,0.092,9,0.193,13
17,4,Jack Osbourne,0.101,4,0.103,5,0.204,9
17,4,Leah Remini,0.101,4,0.104,1,0.205,5
17,4,"Nicole ""Snooki"" Polizzi",0.101,4,0.1,8,0.201,12
17,4,Bill Engvall,0.089,8,0.103,2,0.192,10
17,4,Brant Daugherty,0.089,8,0.1,7,0.189,15
17,4,Valerie Harper,0.076,10,0.091,10,0.167,20
17,5,Christina Milian,0.119,1,0.093,9,0.212,10
17,5,Corbin Bleu,0.119,1,0.115,4,0.234,5
17,5,Brant Daugherty,0.115,3,0.11,7,0.225,10
17,5,Jack Osbourne,0.115,3,0.115,5,0.23,8
17,5,"Nicole ""Snooki"" Polizzi",0.115,3,0.109,8,0.224,11
17,5,Amber Riley,0.111,6,0.115,3,0.226,9
17,5,Elizabeth Berkley Lauren,0.111,6,0.112,6,0.223,12
17,5,Bill Engvall,0.102,8,0.115,2,0.217,10
17,5,Leah Remini,0.094,9,0.118,1,0.212,10
17,6,Amber Riley,0.139,1,0.129,2,0.268,3
17,6,Elizabeth Berkley Lauren,0.139,2,0.122,6,0.261,8
17,6,Brant Daugherty,0.134,3,0.119,7,0.253,10
17,6,"Nicole ""Snooki"" Polizzi",0.13,4,0.116,8,0.246,12
17,6,Leah Remini,0.121,5,0.127,5,0.248,10
17,6,Corbin Bleu,0.117,6,0.129,3,0.246,9
17,6,Jack Osbourne,0.117,7,0.129,4,0.246,11
17,6,Bill Engvall,0.104,8,0.129,1,0.233,9
17,7,Amber Riley,0.133,1,0.132,2,0.265,3
17,7,Corbin Bleu,0.133,1,0.132,4,0.265,5
17,7,Brant Daugherty,0.129,3,0.115,7,0.244,10
17,7,Jack Osbourne,0.129,3,0.132,3,0.261,6
17,7,Elizabeth Berkley Lauren,0.122,5,0.121,6,0.243,11
17,7,"Nicole ""Snooki"" Polizzi",0.122,5,0.109,8,0.231,13
17,7,Leah Remini,0.12,7,0.125,5,0.245,12
17,7,Bill Engvall,0.113,8,0.133,1,0.246,9
17,8,Corbin Bleu,0.156,1,0.153,4,0.309,5
17,8,Jack Osbourne,0.156,1,0.153,2,0.309,3
17,8,Amber Riley,0.146,3,0.153,3,0.299,6
17,8,Leah Remini,0.146,3,0.137,5,0.283,8
17,8,Brant Daugherty,0.141,5,0.12,7,0.261,12
17,8,Elizabeth Berkley Lauren,0.13,6,0.131,6,0.261,12
17,8,Bill Engvall,0.125,7,0.154,1,0.279,8
17,9,Corbin Bleu,0.184,1,0.179,4,0.363,5
17,9,Elizabeth Berkley Lauren,0.178,2,0.136,6,0.314,8
17,9,Jack Osbourne,0.171,3,0.179,2,0.35,5
17,9,Leah Remini,0.171,3,0.148,5,0.319,8
17,9,Amber Riley,0.162,5,0.179,3,0.341,8
17,9,Bill Engvall,0.133,6,0.181,1,0.314,7
17,10,Amber Riley,0.226,1,0.211,3,0.437,4
17,10,Corbin Bleu,0.214,2,0.211,4,0.425,6
17,10,Jack Osbourne,0.203,3,0.211,2,0.414,5
17,10,Leah Remini,0.186,4,0.156,5,0.342,9
17,10,Bill Engvall,0.171,5,0.212,1,0.383,6
17,11,Amber Riley,0.274,1,0.25,3,0.524,4
17,11,Corbin Bleu,0.259,2,0.25,4,0.509,6
17,11,Jack Osbourne,0.245,3,0.25,2,0.495,5
17,11,Bill Engvall,0.223,4,0.251,1,0.474,5
27,1,DeMarcus Ware,0.09,1,0.078,8,0.168,9
27,1,Tinashe,0.09,1,0.074,11,0.164,12
27,1,Alexis Ren,0.086,3,0.079,2,0.165,5
27,1,Juan Pablo Di Pace,0.086,3,0.078,7,0.164,10
27,1,Bobby Bones,0.078,5,0.079,3,0.157,8
27,1,Mary Lou Retton,0.078,5,0.077,9,0.155,14
27,1,Milo Manheim,0.078,5,0.079,5,0.157,10
27,1,Nancy McKeon,0.076,8,0.076,10,0.152,18
27,1,Danelle Umstead,0.071,9,0.074,12,0.145,21
27,1,Evanna Lynch,0.071,9,0.079,4,0.15,13
27,1,John Schneider,0.071,9,0.078,6,0.149,15
27,1,Nikki Glaser,0.069,12,0.068,13,0.137,25
27,1,Joe Amabile,0.055,13,0.082,1,0.137,14
27,2,Juan Pablo Di Pace,0.096,1,0.084,7,0.18,8
27,2,Milo Manheim,0.096,1,0.085,5,0.181,6
27,2,Tinashe,0.096,1,0.077,11,0.173,12
27,2,Alexis Ren,0.091,4,0.085,2,0.176,6
27,2,Evanna Lynch,0.089,5,0.085,3,0.174,8
27,2,DeMarcus Ware,0.087,6,0.084,8,0.171,14
27,2,Mary Lou Retton,0.085,7,0.083,9,0.168,16
27,2,John Schneider,0.079,8,0.084,6,0.163,14
27,2,Nancy McKeon,0.076,9,0.08,10,0.156,19
27,2,Bobby Bones,0.072,10,0.085,4,0.157,14
27,2,Danelle Umstead,0.068,11,0.077,12,0.145,23
27,2,Joe Amabile,0.065,12,0.089,1,0.154,13
27,3,Juan Pablo Di Pace,0.111,1,0.091,7,0.202,8
27,3,Evanna Lynch,0.1,2,0.094,2,0.194,4
27,3,Milo Manheim,0.1,2,0.094,3,0.194,5
27,3,Tinashe,0.1,2,0.078,11,0.178,13
27,3,Alexis Ren,0.096,5,0.094,4,0.19,9
27,3,DeMarcus Ware,0.096,5,0.091,8,0.187,13
27,3,Mary Lou Retton,0.089,7,0.089,9,0.178,16
27,3,Bobby Bones,0.085,8,0.094,5,0.179,13
27,3,Nancy McKeon,0.081,9,0.084,10,0.165,19
27,3,John Schneider,0.077,10,0.092,6,0.169,16
27,3,Joe Amabile,0.066,11,0.101,1,0.167,12
27,4,Milo Manheim,0.125,1,0.105,2,0.23,3
27,4,Mary Lou Retton,0.112,2,0.095,9,0.207,11
27,4,Tinashe,0.112,2,0.071,10,0.183,12
27,4,Alexis Ren,0.108,4,0.105,4,0.213,8
27,4,Evanna Lynch,0.103,5,0.105,3,0.208,8
27,4,Juan Pablo Di Pace,0.103,5,0.099,7,0.202,12
27,4,DeMarcus Ware,0.095,7,0.098,8,0.193,15
27,4,John Schneider,0.091,8,0.1,6,0.191,14
27,4,Bobby Bones,0.086,9,0.105,5,0.191,14
27,4,Joe Amabile,0.065,10,0.118,1,0.183,11
27,5,Alexis Ren,0.131,1,0.117,3,0.248,4
27,5,Juan Pablo Di Pace,0.131,1,0.106,7,0.237,8
27,5,Milo Manheim,0.122,3,0.117,1,0.239,4
27,5,DeMarcus Ware,0.117,4,0.104,8,0.221,12
27,5,Mary Lou Retton,0.113,5,0.097,9,0.21,14
27,5,Evanna Lynch,0.108,6,0.117,2,0.225,8
27,5,John Schneider,0.108,6,0.108,6,0.216,12
27,5,Bobby Bones,0.095,8,0.117,4,0.212,12
27,5,Joe Amabile,0.077,9,0.117,5,0.194,14
27,6,Juan Pablo Di Pace,0.131,1,0.103,7,0.234,8
27,6,Milo Manheim,0.131,1,0.124,1,0.255,2
27,6,Evanna Lynch,0.127,3,0.124,2,0.251,5
27,6,Alexis Ren,0.118,4,0.124,3,0.242,7
27,6,DeMarcus Ware,0.114,5,0.098,8,0.212,13
27,6,Mary Lou Retton,0.105,6,0.085,9,0.19,15
27,6,Bobby Bones,0.096,7,0.124,4,0.22,11
27,6,Joe Amabile,0.096,7,0.111,5,0.207,12
27,6,John Schneider,0.083,9,0.107,6,0.19,15
27,7,Evanna Lynch,0.136,1,0.146,3,0.282,4
27,7,Milo Manheim,0.133,2,0.146,1,0.279,3
27,7,Juan Pablo Di Pace,0.129,3,0.107,6,0.236,9
27,7,Alexis Ren,0.126,4,0.146,2,0.272,6
27,7,John Schneider,0.124,5,0.098,7,0.222,12
27,7,Bobby Bones,0.122,6,0.146,4,0.268,10
27,7,DeMarcus Ware,0.122,6,0.097,8,0.219,14
27,7,Joe Amabile,0.108,8,0.114,5,0.222,13
27,8,Juan Pablo Di Pace,0.186,1,0.116,6,0.302,7
27,8,Alexis Ren,0.18,2,0.191,1,0.371,3
27,8,Evanna Lynch,0.18,2,0.191,4,0.371,6
27,8,Milo Manheim,0.171,4,0.191,2,0.362,6
27,8,Joe Amabile,0.143,5,0.122,5,0.265,10
27,8,Bobby Bones,0.14,6,0.191,3,0.331,9
27,9,Evanna Lynch,0.26,1,0.25,3,0.51,4
27,9,Milo Manheim,0.26,1,0.25,4,0.51,5
27,9,Alexis Ren,0.247,3,0.25,1,0.497,4
27,9,Bobby Bones,0.234,4,0.25,2,0.484,6
29,1,Justina Machado,0.081,1,0.067,5,0.148,6
29,1,Skai Jackson,0.081,1,0.067,2,0.148,3
29,1,Kaitlyn Bristowe,0.077,3,0.067,4,0.144,7
29,1,Nev Schulman,0.077,3,0.067,3,0.144,6
29,1,Monica Aldama,0.073,5,0.067,8,0.14,13
29,1,AJ McLean,0.069,6,0.067,6,0.136,12
29,1,Anne Heche,0.069,6,0.066,13,0.135,19
29,1,Jeannie Mai,0.069,6,0.067,9,0.136,15
29,1,Jesse Metcalfe,0.069,6,0.067,12,0.136,18
29,1,Johnny Weir,0.069,6,0.067,7,0.136,13
29,1,Veron Davis,0.065,11,0.067,11,0.132,22
29,1,Nelly,0.062,12,0.067,1,0.129,13
29,1,Chrishell Stause,0.05,13,0.067,10,0.117,23
29,1,Charles Oakley,0.046,14,0.065,15,0.111,29
29,1,Carole Baskin,0.042,15,0.066,14,0.108,29
29,2,Kaitlyn Bristowe,0.081,1,0.067,4,0.148,5
29,2,Justina Machado,0.077,2,0.067,5,0.144,7
29,2,Nev Schulman,0.077,2,0.067,3,0.144,5
29,2,Jesse Metcalfe,0.073,4,0.067,12,0.14,16
29,2,AJ McLean,0.07,5,0.067,6,0.137,11
29,2,Anne Heche,0.066,6,0.066,13,0.132,19
29,2,Chrishell Stause,0.066,6,0.067,10,0.133,16
29,2,Jeannie Mai,0.066,6,0.067,9,0.133,15
29,2,Johnny Weir,0.066,6,0.067,7,0.133,13
29,2,Nelly,0.066,6,0.068,1,0.134,7
29,2,Veron Davis,0.066,6,0.067,11,0.133,17
29,2,Carole Baskin,0.059,12,0.065,14,0.124,26
29,2,Monica Aldama,0.059,12,0.067,8,0.126,20
29,2,Charles Oakley,0.055,14,0.063,15,0.118,29
29,2,Skai Jackson,0.055,14,0.067,2,0.122,16
29,3,Johnny Weir,0.085,1,0.072,7,0.157,8
29,3,Nev Schulman,0.085,1,0.072,3,0.157,4
29,3,Kaitlyn Bristowe,0.082,3,0.072,4,0.154,7
29,3,Chrishell Stause,0.078,4,0.071,10,0.149,14
29,3,Jeannie Mai,0.078,4,0.071,9,0.149,13
29,3,Veron Davis,0.078,4,0.071,11,0.149,15
29,3,AJ McLean,0.075,7,0.072,6,0.147,13
29,3,Monica Aldama,0.075,7,0.071,8,0.146,15
29,3,Jesse Metcalfe,0.071,9,0.071,12,0.142,21
29,3,Justina Machado,0.068,10,0.072,5,0.14,15
29,3,Nelly,0.064,11,0.073,1,0.137,12
29,3,Skai Jackson,0.064,11,0.073,2,0.137,13
29,3,Anne Heche,0.053,13,0.07,13,0.123,26
29,3,Carole Baskin,0.043,14,0.068,14,0.111,28
29,4,Skai Jackson,0.093,1,0.079,2,0.172,3
29,4,Kaitlyn Bristowe,0.083,2,0.079,5,0.162,7
29,4,AJ McLean,0.08,3,0.078,6,0.158,9
29,4,Johnny Weir,0.08,3,0.078,7,0.158,10
29,4,Justina Machado,0.08,3,0.079,3,0.159,6
29,4,Monica Aldama,0.08,3,0.076,8,0.156,11
29,4,Nev Schulman,0.08,3,0.079,4,0.159,7
29,4,Chrishell Stause,0.073,8,0.076,10,0.149,18
29,4,Veron Davis,0.073,8,0.075,11,0.148,19
29,4,Anne Heche,0.07,10,0.072,13,0.142,23
29,4,Jeannie Mai,0.07,10,0.076,9,0.146,19
29,4,Jesse Metcalfe,0.07,10,0.075,12,0.145,22
29,4,Nelly,0.07,10,0.08,1,0.15,11
29,5,Johnny Weir,0.101,1,0.084,7,0.185,8
29,5,Kaitlyn Bristowe,0.094,2,0.086,4,0.18,6
29,5,Monica Aldama,0.091,3,0.081,8,0.172,11
29,5,Nev Schulman,0.091,3,0.086,5,0.177,8
29,5,AJ McLean,0.084,5,0.084,6,0.168,11
29,5,Jeannie Mai,0.084,5,0.081,9,0.165,14
29,5,Justina Machado,0.084,5,0.086,3,0.17,8
29,5,Nelly,0.084,5,0.089,1,0.173,6
29,5,Skai Jackson,0.084,5,0.087,2,0.171,7
29,5,Veron Davis,0.073,10,0.079,11,0.152,21
29,5,Chrishell Stause,0.066,11,0.08,10,0.146,21
29,5,Jesse Metcalfe,0.066,11,0.078,12,0.144,23
29,6,AJ McLean,0.101,1,0.091,6,0.192,7
29,6,Justina Machado,0.101,1,0.096,3,0.197,4
29,6,Kaitlyn Bristowe,0.101,1,0.096,4,0.197,5
29,6,Monica Aldama,0.101,1,0.084,8,0.185,9
29,6,Nev Schulman,0.097,5,0.096,5,0.193,10
29,6,Jeannie Mai,0.093,6,0.084,9,0.177,15
29,6,Chrishell Stause,0.09,7,0.082,10,0.172,17
29,6,Nelly,0.09,7,0.102,1,0.192,8
29,6,Johnny Weir,0.082,9,0.091,7,0.173,16
