season,week,celebrity_name,judge_percent,judge_rank,fan_vote_percent,fan_vote_rank,total_percent,total_rank,is_eliminated_this_week_percent,is_eliminated_this_week_rank
4,2,Ian Ziering,0.09,5,0.093,6,0.183,11,0,0
4,2,Billy Ray Cyrus,0.086,6,0.093,5,0.179,11,0,0
4,2,John Ratzenberger,0.086,6,0.092,7,0.178,13,0,0
4,2,Leeza Gibbons,0.086,6,0.089,9,0.175,15,0,0
4,2,Paulina Porizkova,0.086,6,0.08,11,0.166,17,1,0
4,2,Shandi Finnessey,0.082,10,0.084,10,0.166,20,0,1
4,2,Clyde Drexler,0.073,11,0.095,1,0.168,12,0,0
4,6,Apolo Anton Ohno,0.165,1,0.158,1,0.323,2,0,0
4,6,Laila Ali,0.165,1,0.158,2,0.323,3,0,0
4,6,Joey Fatone,0.159,3,0.158,3,0.317,6,0,0
4,6,Ian Ziering,0.141,4,0.14,5,0.281,9,0,0
4,6,Heather Mills,0.135,5,0.111,7,0.246,12,1,0
4,6,Billy Ray Cyrus,0.124,6,0.141,4,0.265,10,0,0
4,6,John Ratzenberger,0.112,7,0.134,6,0.246,13,0,1
5,2,Helio Castroneves,0.113,1,0.094,3,0.207,4,0,0
5,2,Sabrina Bryan,0.109,2,0.091,8,0.2,10,0,0
5,2,Marie Osmond,0.101,3,0.094,2,0.195,5,0,0
5,2,Mel B,0.097,4,0.094,4,0.191,8,0,0
5,2,Albert Reed,0.088,5,0.072,11,0.16,16,1,0
5,2,Cameron Mathison,0.088,5,0.093,6,0.181,11,0,0
5,2,Floyd Mayweather Jr. ,0.088,5,0.089,10,0.177,15,0,0
5,2,Jane Seymour,0.088,5,0.092,7,0.18,12,0,0
5,2,Jennie Garth,0.088,5,0.093,5,0.181,10,0,0
5,2,Mark Cuban,0.076,10,0.091,9,0.167,19,0,1
5,2,Wayne Newton,0.063,11,0.097,1,0.16,12,0,0
5,6,Mel B,0.167,1,0.158,1,0.325,2,0,0
5,6,Helio Castroneves,0.156,2,0.158,2,0.314,4,0,0
5,6,Jennie Garth,0.15,3,0.14,4,0.29,7,0,0
5,6,Cameron Mathison,0.139,4,0.136,5,0.275,9,0,0
5,6,Sabrina Bryan,0.139,4,0.117,7,0.256,11,1,0
5,6,Marie Osmond,0.128,6,0.158,3,0.286,9,0,0
5,6,Jane Seymour,0.122,7,0.134,6,0.256,13,0,1
5,10,Mel B,0.357,1,0.333,3,0.69,4,0,1
5,10,Helio Castroneves,0.353,2,0.333,2,0.686,4,0,0
5,10,Marie Osmond,0.29,3,0.333,1,0.623,4,1,0
6,1,Kristi Yamaguchi,0.111,1,0.086,3,0.197,4,0,0
6,1,Mario,0.099,2,0.085,5,0.184,7,0,0
6,1,Priscilla Presley,0.099,2,0.084,8,0.183,10,0,0
6,1,Jason Taylor,0.091,4,0.086,1,0.177,5,0,0
6,1,Marlee Matlin,0.091,4,0.085,7,0.176,11,0,0
6,1,Cristian de la Fuente,0.086,6,0.086,2,0.172,8,0,0
6,1,Shannon Elizabeth,0.086,6,0.085,6,0.171,12,0,0
6,1,Marissa Jaret Winokur,0.074,8,0.085,4,0.159,12,0,0
6,1,Steve Guttenberg,0.074,8,0.082,10,0.156,18,0,0
6,1,Penn Jillette,0.066,10,0.076,12,0.142,22,0,1
6,1,Adam Carolla,0.062,11,0.083,9,0.145,20,0,0
6,1,Monica Seles,0.062,11,0.076,11,0.138,22,1,0
6,8,Cristian de la Fuente,0.213,1,0.225,2,0.438,3,0,0
6,8,Kristi Yamaguchi,0.206,2,0.225,3,0.431,5,0,0
6,8,Mario,0.199,3,0.155,5,0.354,8,1,0
6,8,Jason Taylor,0.195,4,0.225,1,0.42,5,0,0
6,8,Marissa Jaret Winokur,0.187,5,0.169,4,0.356,9,0,1
7,3,Brooke Burke,0.141,1,0.114,2,0.255,3,0,0
7,3,Warren Sapp,0.126,2,0.114,1,0.24,3,0,0
7,3,Maurice Greene,0.121,3,0.111,6,0.232,9,0,0
7,3,Lance Bass,0.111,4,0.114,3,0.225,7,0,0
7,3,Toni Braxton,0.111,4,0.107,8,0.218,12,0,0
7,3,Cody Linley,0.106,6,0.112,4,0.218,10,0,0
7,3,Susan Lucci,0.106,6,0.11,7,0.216,13,0,0
7,3,Rocco DiSpirito,0.101,8,0.106,9,0.207,17,0,1
7,3,Cloris Leachman,0.08,9,0.111,5,0.191,14,1,0
7,5,Brooke Burke,0.149,1,0.135,3,0.284,4,0,0
7,5,Cody Linley,0.144,2,0.125,4,0.269,6,0,0
7,5,Maurice Greene,0.138,3,0.123,5,0.261,8,0,0
7,5,Warren Sapp,0.128,4,0.135,2,0.263,6,0,0
7,5,Susan Lucci,0.113,5,0.12,6,0.233,11,0,0
7,5,Toni Braxton,0.113,5,0.11,8,0.223,13,1,0
7,5,Cloris Leachman,0.108,7,0.117,7,0.225,14,0,1
7,5,Lance Bass,0.108,7,0.135,1,0.243,8,0,0
8,1,Gilles Marini,0.099,1,0.078,4,0.177,5,0,0
8,1,Melissa Rycroft,0.095,2,0.078,5,0.173,7,0,0
8,1,Shawn Johnson,0.095,2,0.078,3,0.173,5,0,0
8,1,Lil' Kim,0.086,4,0.078,7,0.164,11,0,0
8,1,Chuck Wicks,0.082,5,0.078,8,0.16,13,0,0
8,1,David Alan Grier,0.078,6,0.077,10,0.155,16,0,0
8,1,Denise Richards,0.074,7,0.072,12,0.146,19,0,0
8,1,Holly Madison,0.074,7,0.076,11,0.15,18,0,0
8,1,Belinda Carlisle,0.07,9,0.071,13,0.141,22,0,1
8,1,Steve-O,0.07,9,0.08,1,0.15,10,0,0
8,1,Lawrence Taylor,0.066,11,0.078,9,0.144,20,0,0
8,1,Ty Murray,0.058,12,0.078,6,0.136,18,0,0
8,1,Steve Wozniak,0.053,13,0.079,2,0.132,15,1,0
8,5,Gilles Marini,0.138,1,0.118,2,0.256,3,0,0
8,5,Lil' Kim,0.124,2,0.111,6,0.235,8,0,0
8,5,Shawn Johnson,0.124,2,0.118,3,0.242,5,0,0
8,5,Melissa Rycroft,0.119,4,0.118,1,0.237,5,0,0
8,5,Chuck Wicks,0.11,5,0.11,7,0.22,12,0,0
8,5,David Alan Grier,0.105,6,0.093,9,0.198,15,1,0
8,5,Ty Murray,0.1,7,0.113,4,0.213,11,0,0
8,5,Lawrence Taylor,0.095,8,0.108,8,0.203,16,0,1
8,5,Steve-O,0.086,9,0.112,5,0.198,14,0,0
9,1,Joanna Krupa,0.084,1,0.064,4,0.148,5,0,0
9,1,Aaron Carter,0.079,2,0.064,5,0.143,7,0,0
9,1,Mya,0.076,3,0.065,2,0.141,5,0,0
9,1,Kelly Osbourne,0.076,4,0.065,1,0.141,5,0,0
9,1,Donny Osmond,0.074,5,0.065,3,0.139,8,0,0
9,1,Mark Dacascos,0.071,6,0.064,7,0.135,13,0,0
9,1,Louie Vito,0.067,7,0.064,8,0.131,15,0,0
9,1,Natalie Coughlin,0.067,7,0.064,9,0.131,16,0,0
9,1,Melissa Joan Hart,0.059,9,0.064,10,0.123,19,0,0
9,1,Chuck Liddell,0.054,10,0.063,11,0.117,21,0,0
9,1,Debi Mazar,0.054,10,0.061,14,0.115,24,0,0
9,1,Kathy Ireland,0.049,12,0.061,13,0.11,25,0,0
9,1,Tom DeLay,0.049,12,0.062,12,0.111,24,0,0
9,1,Michael Irvin,0.047,14,0.064,6,0.111,20,0,0
9,1,Ashley Hamiliton,0.047,15,0.054,15,0.101,30,1,0
9,1,Macy Gray,0.047,15,0.054,16,0.101,31,0,1
9,5,Donny Osmond,0.12,1,0.111,3,0.231,4,0,0
9,5,Mya,0.112,2,0.111,2,0.223,4,0,0
9,5,Mark Dacascos,0.107,3,0.095,7,0.202,10,0,0
9,5,Aaron Carter,0.099,4,0.101,5,0.2,9,0,0
9,5,Joanna Krupa,0.099,4,0.103,4,0.202,8,0,0
9,5,Kelly Osbourne,0.099,4,0.111,1,0.21,5,0,0
9,5,Melissa Joan Hart,0.095,7,0.091,10,0.186,17,0,1
9,5,Louie Vito,0.091,8,0.091,8,0.182,16,1,0
9,5,Natalie Coughlin,0.091,8,0.091,8,0.182,16,0,0
9,5,Michael Irvin,0.087,10,0.095,6,0.182,16,0,0
9,10,Donny Osmond,0.351,1,0.333,1,0.684,2,0,0
9,10,Mya,0.343,2,0.333,3,0.676,5,0,1
9,10,Kelly Osbourne,0.306,3,0.333,2,0.639,5,1,0
10,1,Nicole Scherzinger,0.12,1,0.093,3,0.213,4,0,0
10,1,Evan Lysacek,0.11,2,0.093,4,0.203,6,0,0
10,1,Erin Andrews,0.1,3,0.093,2,0.193,5,0,0
10,1,Pamela Anderson,0.1,3,0.092,7,0.192,10,0,0
10,1,Jake Pavelka,0.096,5,0.091,8,0.187,13,0,0
10,1,Chad Ochocinco,0.086,6,0.092,5,0.178,11,0,0
10,1,Niecy Nash,0.086,6,0.092,6,0.178,12,0,0
10,1,Shannen Doherty,0.086,6,0.075,11,0.161,17,1,0
10,1,Kate Gosselin,0.077,9,0.091,9,0.168,18,0,0
10,1,Aiden Turner,0.072,10,0.09,10,0.162,20,0,1
10,1,Buzz Aldrin,0.067,11,0.098,1,0.165,12,0,0
10,2,Nicole Scherzinger,0.127,1,0.094,4,0.221,5,0,0
10,2,Evan Lysacek,0.109,2,0.094,3,0.203,5,0,0
10,2,Erin Andrews,0.105,3,0.094,2,0.199,5,0,0
10,2,Pamela Anderson,0.1,4,0.092,7,0.192,11,0,0
10,2,Niecy Nash,0.095,5,0.093,6,0.188,11,0,0
10,2,Jake Pavelka,0.091,6,0.092,8,0.183,14,0,0
10,2,Shannen Doherty,0.091,6,0.066,11,0.157,17,1,0
10,2,Aiden Turner,0.086,8,0.089,10,0.175,18,0,0
10,2,Chad Ochocinco,0.073,9,0.093,5,0.166,14,0,0
10,2,Kate Gosselin,0.068,10,0.091,9,0.159,19,0,1
10,2,Buzz Aldrin,0.055,11,0.102,1,0.157,12,0,0
10,3,Evan Lysacek,0.128,1,0.103,2,0.231,3,0,0
10,3,Erin Andrews,0.113,2,0.103,1,0.216,3,0,0
10,3,Nicole Scherzinger,0.113,2,0.103,3,0.216,5,0,0
10,3,Jake Pavelka,0.103,4,0.098,8,0.201,12,0,0
10,3,Niecy Nash,0.103,4,0.1,5,0.203,9,0,0
10,3,Pamela Anderson,0.103,4,0.1,6,0.203,10,0,0
10,3,Aiden Turner,0.099,7,0.094,10,0.193,17,0,0
10,3,Chad Ochocinco,0.099,7,0.101,4,0.2,11,0,0
10,3,Kate Gosselin,0.074,9,0.097,9,0.171,18,0,1
10,3,Buzz Aldrin,0.064,10,0.099,7,0.163,17,1,0
10,7,Evan Lysacek,0.174,1,0.187,1,0.361,2,0,0
10,7,Nicole Scherzinger,0.174,1,0.187,2,0.361,3,0,0
10,7,Chad Ochocinco,0.167,3,0.155,4,0.322,7,0,0
10,7,Erin Andrews,0.164,4,0.187,3,0.351,7,0,0
10,7,Pamela Anderson,0.164,4,0.137,6,0.301,10,1,0
10,7,Niecy Nash,0.158,6,0.147,5,0.305,11,0,1
11,5,Brandy,0.148,1,0.126,5,0.274,6,0,0
11,5,Jennifer Grey,0.137,2,0.135,3,0.272,5,0,0
11,5,Kurt Warner,0.132,3,0.132,4,0.264,7,0,0
11,5,Rick Fox,0.132,3,0.12,6,0.252,9,0,0
11,5,Audrina Patridge,0.126,5,0.106,8,0.232,13,0,1
11,5,Florence Henderson,0.115,6,0.11,7,0.225,13,1,0
11,5,Kyle Massey,0.11,7,0.135,2,0.245,9,0,0
11,5,Bristol Palin,0.099,8,0.135,1,0.234,9,0,0
11,6,Brandy,0.174,1,0.14,5,0.314,6,0,0
11,6,Audrina Patridge,0.155,2,0.103,7,0.258,9,1,0
11,6,Rick Fox,0.145,3,0.13,6,0.275,9,0,0
11,6,Kyle Massey,0.145,4,0.158,3,0.303,7,0,0
11,6,Jennifer Grey,0.14,5,0.158,2,0.298,7,0,0
11,6,Bristol Palin,0.135,6,0.158,1,0.293,7,0,0
11,6,Kurt Warner,0.106,7,0.152,4,0.258,11,0,1
11,10,Jennifer Grey,0.361,1,0.333,3,0.694,4,0,1
11,10,Kyle Massey,0.329,2,0.333,2,0.662,4,0,0
11,10,Bristol Palin,0.309,3,0.333,1,0.642,4,1,0
13,2,Ricki Lake,0.103,1,0.094,3,0.197,4,0,0
13,2,J.R. Martinez,0.099,2,0.094,2,0.193,4,0,0
13,2,Kristin Cavallari,0.099,2,0.083,10,0.182,12,0,0
13,2,Chynna Phillips,0.094,4,0.089,9,0.183,13,0,0
13,2,Elisabetta Canalis,0.094,4,0.079,11,0.173,15,1,0
13,2,Nancy Grace,0.094,4,0.093,6,0.187,10,0,0
13,2,Rob Kardashian,0.094,4,0.094,4,0.188,8,0,0
13,2,Hope Solo,0.085,8,0.093,5,0.178,13,0,0
13,2,Carson Kressley,0.081,9,0.092,8,0.173,17,0,1
13,2,David Arquette,0.081,9,0.092,7,0.173,16,0,0
13,2,Chaz Bono,0.076,11,0.097,1,0.173,12,0,0
13,3,Ricki Lake,0.114,1,0.104,3,0.218,4,0,0
13,3,Chynna Phillips,0.11,2,0.095,9,0.205,11,0,0
13,3,J.R. Martinez,0.11,2,0.104,2,0.214,4,0,0
13,3,David Arquette,0.101,4,0.101,7,0.202,11,0,0
13,3,Hope Solo,0.101,4,0.102,5,0.203,9,0,0
13,3,Kristin Cavallari,0.101,4,0.082,10,0.183,14,1,0
13,3,Rob Kardashian,0.101,4,0.104,4,0.205,8,0,0
13,3,Carson Kressley,0.097,8,0.098,8,0.195,16,0,1
13,3,Nancy Grace,0.089,9,0.101,6,0.19,15,0,0
13,3,Chaz Bono,0.076,10,0.107,1,0.183,11,0,0
13,4,Ricki Lake,0.139,1,0.117,3,0.256,4,0,0
13,4,J.R. Martinez,0.124,2,0.117,1,0.241,3,0,0
13,4,Hope Solo,0.115,3,0.112,4,0.227,7,0,0
13,4,Rob Kardashian,0.115,3,0.117,2,0.232,5,0,0
13,4,David Arquette,0.11,5,0.11,7,0.22,12,0,0
13,4,Chaz Bono,0.1,6,0.112,5,0.212,11,0,0
13,4,Chynna Phillips,0.1,6,0.099,9,0.199,15,1,0
13,4,Nancy Grace,0.1,6,0.111,6,0.211,12,0,0
13,4,Carson Kressley,0.096,9,0.105,8,0.201,17,0,1
14,9,Maria Menounos,0.257,1,0.18,4,0.437,5,1,0
14,9,William Levy,0.252,2,0.273,2,0.525,4,0,0
14,9,Donald Driver,0.248,3,0.273,3,0.521,6,0,1
14,9,Katherine Jenkins,0.243,4,0.273,1,0.516,5,0,0
15,6,Apolo Anton Ohno,0.133,1,0.12,5,0.253,6,0,0
15,6,Sabrina Bryan,0.133,1,0.106,8,0.239,9,1,0
15,6,Melissa Rycroft,0.131,3,0.14,2,0.271,5,0,0
15,6,Shawn Johnson,0.124,4,0.14,1,0.264,5,0,0
15,6,Gilles Marini,0.122,5,0.117,6,0.239,11,0,0
15,6,Kirstie Alley,0.122,5,0.117,6,0.239,11,0,0
15,6,Kelly Monaco,0.119,7,0.14,3,0.259,10,0,0
15,6,Emmitt Smith,0.117,8,0.122,4,0.239,12,0,1
17,1,Amber Riley,0.105,1,0.084,5,0.189,6,0,0
17,1,Corbin Bleu,0.094,2,0.084,4,0.178,6,0,0
17,1,Elizabeth Berkley Lauren,0.094,2,0.084,6,0.178,8,0,0
17,1,Jack Osbourne,0.09,4,0.084,3,0.174,7,0,0
17,1,"Nicole ""Snooki"" Polizzi",0.09,4,0.084,8,0.174,12,0,0
17,1,Brant Daugherty,0.086,6,0.084,7,0.17,13,0,0
17,1,Christina Milian,0.086,6,0.083,9,0.169,15,0,0
17,1,Leah Remini,0.082,8,0.085,1,0.167,9,0,0
17,1,Valerie Harper,0.082,8,0.083,10,0.165,18,0,0
17,1,Bill Engvall,0.07,10,0.084,2,0.154,12,0,0
17,1,Keyshawn Johnson,0.066,11,0.079,12,0.145,23,0,1
17,1,Bill Nye,0.055,12,0.082,11,0.137,23,1,0
17,5,Christina Milian,0.119,1,0.093,9,0.212,10,1,0
17,5,Corbin Bleu,0.119,1,0.115,4,0.234,5,0,0
17,5,Brant Daugherty,0.115,3,0.11,7,0.225,10,0,0
17,5,Jack Osbourne,0.115,3,0.115,5,0.23,8,0,0
17,5,"Nicole ""Snooki"" Polizzi",0.115,3,0.109,8,0.224,11,0,0
17,5,Amber Riley,0.111,6,0.115,3,0.226,9,0,0
17,5,Elizabeth Berkley Lauren,0.111,6,0.112,6,0.223,12,0,1
17,5,Bill Engvall,0.102,8,0.115,2,0.217,10,0,0
17,5,Leah Remini,0.094,9,0.118,1,0.212,10,0,0
17,6,Amber Riley,0.139,1,0.129,2,0.268,3,0,0
17,6,Elizabeth Berkley Lauren,0.139,2,0.122,6,0.261,8,0,0
17,6,Brant Daugherty,0.134,3,0.119,7,0.253,10,0,0
17,6,"Nicole ""Snooki"" Polizzi",0.13,4,0.116,8,0.246,12,0,1
17,6,Leah Remini,0.121,5,0.127,5,0.248,10,0,0
17,6,Corbin Bleu,0.117,6,0.129,3,0.246,9,0,0
17,6,Jack Osbourne,0.117,7,0.129,4,0.246,11,0,0
17,6,Bill Engvall,0.104,8,0.129,1,0.233,9,1,0
17,11,Amber Riley,0.274,1,0.25,3,0.524,4,0,0
17,11,Corbin Bleu,0.259,2,0.25,4,0.509,6,0,1
17,11,Jack Osbourne,0.245,3,0.25,2,0.495,5,0,0
17,11,Bill Engvall,0.223,4,0.251,1,0.474,5,1,0
18,3,Meryl Davis,0.125,1,0.113,2,0.238,3,0,0
18,3,Amy Purdy,0.116,2,0.113,3,0.229,5,0,0
18,3,Charlie White,0.116,2,0.111,5,0.227,7,0,0
18,3,Danica McKellar,0.116,2,0.111,7,0.227,9,0,0
18,3,James Maslow,0.116,2,0.112,4,0.228,6,0,0
18,3,Cody Simpson,0.113,6,0.106,9,0.219,15,0,0
18,3,Candace Cameron Bure,0.103,7,0.113,1,0.216,8,0,0
18,3,NeNe Leakes,0.1,8,0.11,8,0.21,16,0,1
18,3,Drew Carey,0.096,9,0.111,6,0.207,15,1,0
19,5,Sadie Robertson,0.136,1,0.114,4,0.25,5,0,0
19,5,Alfonso Ribeiro,0.129,2,0.114,3,0.243,5,0,0
19,5,Lea Thompson,0.129,2,0.11,8,0.239,10,0,0
19,5,Janel Parrish,0.125,4,0.114,1,0.239,5,0,0
19,5,Bethany Mota,0.121,5,0.114,2,0.235,7,0,0
19,5,Antonio Sabato Jr.,0.106,6,0.11,7,0.216,13,0,0
19,5,Jonathan Bennett,0.091,7,0.105,9,0.196,16,0,1
19,5,Tommy Chong,0.087,8,0.112,5,0.199,13,0,0
19,5,Michael Waltrip,0.076,9,0.11,6,0.186,15,1,0
19,6,Alfonso Ribeiro,0.133,1,0.116,4,0.249,5,0,0
19,6,Bethany Mota,0.123,2,0.116,3,0.239,5,0,0
19,6,Sadie Robertson,0.119,3,0.116,2,0.235,5,0,0
19,6,Janel Parrish,0.113,4,0.116,1,0.229,5,0,0
19,6,Jonathan Bennett,0.109,5,0.096,9,0.205,14,1,0
19,6,Lea Thompson,0.109,5,0.109,8,0.218,13,0,0
19,6,Michael Waltrip,0.102,7,0.109,6,0.211,13,0,0
19,6,Antonio Sabato Jr.,0.096,8,0.109,7,0.205,15,0,1
19,6,Tommy Chong,0.096,8,0.113,5,0.209,13,0,0
19,11,Alfonso Ribeiro,0.256,1,0.25,2,0.506,3,0,0
19,11,Sadie Robertson,0.252,2,0.25,1,0.502,3,0,0
19,11,Janel Parrish,0.249,3,0.25,4,0.499,7,0,1
19,11,Bethany Mota,0.243,4,0.25,3,0.493,7,1,0
20,2,Nastia Liukin,0.098,1,0.085,5,0.183,6,0,0
20,2,Riker Lynch,0.092,2,0.086,2,0.178,4,0,0
20,2,Rumer Willis,0.092,2,0.086,4,0.178,6,0,0
20,2,Willow Shields,0.092,2,0.084,8,0.176,10,0,0
20,2,Redfoo,0.089,5,0.066,12,0.155,17,1,0
20,2,Michael Sam,0.081,6,0.082,10,0.163,16,0,0
20,2,Patti LaBelle,0.081,6,0.084,7,0.165,13,0,0
20,2,Robert Herjavec,0.081,6,0.085,6,0.166,12,0,0
20,2,Suzanne Somers,0.081,6,0.083,9,0.164,15,0,0
20,2,Noah Galloway,0.078,10,0.086,3,0.164,13,0,0
20,2,Charlotte McKinney,0.075,11,0.08,11,0.155,22,0,1
20,2,Chris Soules,0.061,12,0.094,1,0.155,13,0,0
20,4,Willow Shields,0.12,1,0.096,8,0.216,9,0,0
20,4,Nastia Liukin,0.111,2,0.101,5,0.212,7,0,0
20,4,Rumer Willis,0.108,3,0.106,3,0.214,6,0,0
20,4,Riker Lynch,0.105,4,0.106,1,0.211,5,0,0
20,4,Robert Herjavec,0.105,4,0.101,6,0.206,10,0,0
20,4,Noah Galloway,0.098,6,0.106,2,0.204,8,0,0
20,4,Michael Sam,0.092,7,0.089,10,0.181,17,1,0
20,4,Patti LaBelle,0.092,7,0.098,7,0.19,14,0,0
20,4,Suzanne Somers,0.086,9,0.095,9,0.181,18,0,1
20,4,Chris Soules,0.083,10,0.103,4,0.186,14,0,0
20,7,Nastia Liukin,0.161,1,0.138,4,0.299,5,0,0
20,7,Willow Shields,0.154,2,0.098,7,0.252,9,1,0
20,7,Noah Galloway,0.15,3,0.168,2,0.318,5,0,0
20,7,Riker Lynch,0.146,4,0.168,3,0.314,7,0,0
20,7,Rumer Willis,0.146,4,0.168,1,0.314,5,0,0
20,7,Chris Soules,0.122,6,0.13,5,0.252,11,0,1
20,7,Robert Herjavec,0.122,6,0.13,5,0.252,11,0,0
20,9,Nastia Liukin,0.255,1,0.18,4,0.435,5,1,0
20,9,Riker Lynch,0.255,1,0.273,3,0.528,4,0,0
20,9,Rumer Willis,0.248,3,0.273,1,0.521,4,0,0
20,9,Noah Galloway,0.242,4,0.273,2,0.515,6,0,1
21,3,Alexa PenaVega,0.118,1,0.1,7,0.218,8,0,0
21,3,Nick Carter,0.118,1,0.101,3,0.219,4,0,0
21,3,Alek Skarlatos,0.108,3,0.101,1,0.209,4,0,0
21,3,Tamar Braxton,0.108,3,0.1,6,0.208,9,0,0
21,3,Bindi Irwin,0.105,5,0.101,2,0.206,7,0,0
21,3,Carlos PenaVega,0.102,6,0.101,4,0.203,10,0,0
21,3,Hayes Grier,0.098,7,0.1,8,0.198,15,0,0
21,3,Andy Grammer,0.095,8,0.1,5,0.195,13,0,0
21,3,Gary Busey,0.082,9,0.096,10,0.178,19,0,1
21,3,Paula Deen,0.066,10,0.099,9,0.165,19,1,0
21,7,Bindi Irwin,0.131,1,0.136,3,0.267,4,0,0
21,7,Andy Grammer,0.127,2,0.116,5,0.243,7,0,0
21,7,Carlos PenaVega,0.127,2,0.135,4,0.262,6,0,0
21,7,Hayes Grier,0.127,2,0.11,8,0.237,10,1,0
21,7,Alexa PenaVega,0.124,5,0.115,7,0.239,12,0,1
21,7,Nick Carter,0.122,6,0.136,2,0.258,8,0,0
21,7,Tamar Braxton,0.122,6,0.115,6,0.237,12,0,0
21,7,Alek Skarlatos,0.12,8,0.137,1,0.257,9,0,0
21,8,Nick Carter,0.17,1,0.16,2,0.33,3,0,0
21,8,Carlos PenaVega,0.149,2,0.158,4,0.307,6,0,0
21,8,Bindi Irwin,0.144,3,0.16,3,0.304,6,0,0
21,8,Tamar Braxton,0.144,3,0.119,6,0.263,9,0,0
21,8,Alexa PenaVega,0.139,5,0.119,7,0.258,12,0,1
21,8,Alek Skarlatos,0.129,6,0.162,1,0.291,7,0,0
21,8,Andy Grammer,0.124,7,0.122,5,0.246,12,1,0
22,5,Nyle DiMarco,0.134,1,0.119,3,0.253,4,0,0
22,5,Jodie Sweetin,0.127,2,0.107,6,0.234,8,0,0
22,5,Ginger Zee,0.116,3,0.119,1,0.235,4,0,0
22,5,Paige VanZant,0.112,4,0.119,2,0.231,6,0,0
22,5,Wanya Morris,0.109,5,0.111,4,0.22,9,0,0
22,5,Von Miller,0.105,6,0.105,9,0.21,15,0,1
22,5,Doug Flutie,0.101,7,0.106,7,0.207,14,0,0
22,5,Kim Fields,0.101,7,0.105,8,0.206,15,0,0
22,5,Antonio Brown,0.094,9,0.109,5,0.203,14,1,0
22,7,Nyle DiMarco,0.131,1,0.152,3,0.283,4,0,0
22,7,Ginger Zee,0.129,2,0.152,1,0.281,3,0,0
22,7,Paige VanZant,0.129,2,0.152,2,0.281,4,0,0
22,7,Wanya Morris,0.129,2,0.123,4,0.252,6,0,0
22,7,Antonio Brown,0.121,5,0.117,5,0.238,10,0,0
22,7,Kim Fields,0.121,5,0.098,8,0.219,13,1,0
22,7,Von Miller,0.121,5,0.098,7,0.219,12,0,0
22,7,Jodie Sweetin,0.119,8,0.107,6,0.226,14,0,1
22,8,Ginger Zee,0.178,1,0.201,3,0.379,4,0,0
