season,week,n_w,omega,tauCJ_rank,tauCF_rank,BI_rank,tauCJ_percent,tauCF_percent,BI_percent,judge_fan_identical
10,3,10,45,0.8198127976897006,0.7956600627155523,-0.012076367487074136,0.9644856443408243,0.6137949055234262,-0.17534536940869905,False
10,7,6,15,0.8894991799933215,0.8280786712108251,-0.030710254391248193,0.667124384994991,0.9660917830792959,0.14948369904215242,False
11,5,8,28,0.510688230856951,0.3857583749052298,-0.06246492797586062,0.6910233190806424,0.14285714285714285,-0.27408308811174975,False
11,6,7,21,0.2646280620124816,0.2646280620124816,0.0,0.29277002188455997,0.19518001458970663,-0.04879500364742667,False
11,10,3,3,0.0,0.0,0.0,1.0,-1.0,-1.0,False
13,2,11,55,0.5663793758439145,0.48617243480439776,-0.04010347051975838,0.7084871015612021,0.3659942110514743,-0.1712464452548639,False
13,3,10,45,0.557364051131954,0.5354632267566766,-0.010950412187638703,0.7916331135924696,0.29553088043720516,-0.2480511165776322,False
13,4,9,36,0.8067793113007156,0.8733260632194672,0.033273375959375795,0.8838834764831843,0.7777777777777778,-0.05305284935270327,False
14,9,4,6,0.18257418583505539,0.18257418583505539,0.0,0.0,0.3333333333333334,0.1666666666666667,False
15,6,8,28,0.5000000000000001,0.3774256780481986,-0.061287160975900756,0.20906050250177272,0.7385489458759963,0.26474422168711176,False
17,1,12,66,0.7200230411059789,0.6358308771056217,-0.042096082000178614,0.9842509842514764,0.338501600193165,-0.3228746920291557,False
17,5,9,36,0.2951216261027788,0.18257418583505536,-0.05627372013386173,0.4250237185032414,0.02817180849095055,-0.1984259550061454,False
17,6,8,28,0.29649972666444047,0.4447495899966607,0.07412493166611012,0.8693182879212226,-0.1889822365046136,-0.529150262212918,False
17,11,4,6,0.18257418583505539,0.18257418583505539,0.0,1.0,-0.6666666666666669,-0.8333333333333335,False
18,3,9,36,0.7097954098256228,0.6479515952918627,-0.030921907266880044,0.9258200997725515,0.4225771273642583,-0.2516214862041466,False
19,5,9,36,0.6872564503672763,0.5892556509887895,-0.04900039968924341,0.9142857142857143,0.3098898934004561,-0.3021979104426291,False
19,6,9,36,0.6931032800836721,0.7377253439645218,0.022311031940424886,0.8406680016960502,0.4225771273642583,-0.20904543716589594,False
19,11,4,6,0.8164965809277261,0.8164965809277261,0.0,1.0,0.3333333333333334,-0.33333333333333326,False
20,2,12,66,0.48782575493305447,0.5940401295066863,0.053107187286815905,0.6953148605119682,0.39400626128204935,-0.15065429961495944,False
20,4,10,45,0.5057805388588732,0.6292532049656926,0.0617363330534097,0.8276408817690653,0.3146266024828463,-0.25650713964310945,False
20,7,7,21,0.5564148840746572,0.5965587590013044,0.020071937463323586,0.2782074420373286,0.8134892168199606,0.267640887391316,False
20,9,4,6,0.39999999999999997,0.18257418583505539,-0.10871290708247229,0.18257418583505539,0.3333333333333334,0.07537957374913902,False
21,3,10,45,0.7674418604651163,0.7047274841194893,-0.03135718817281352,0.9775252199076786,0.4666666666666666,-0.25542927662050596,False
21,7,8,28,0.510688230856951,0.32732683535398854,-0.09168069775148124,0.2749859704614352,0.5455447255899809,0.13527937756427286,False
21,8,7,21,0.7181848464596078,0.5506887917539347,-0.08374802735283654,0.7807200583588265,0.4285714285714286,-0.17607431489369896,False
22,5,9,36,0.6473388749701496,0.7833494518006403,0.06800528841524534,0.9296696802013682,0.4444444444444444,-0.2426126178784619,False
22,7,8,28,0.7795794428691073,0.836501912571304,0.02846123485109836,0.7526178090063818,0.8153742483272113,0.03137821966041476,False
22,8,6,15,0.5929994533288809,0.3580574370197165,-0.11747100815458222,0.5400617248673217,0.4472135954999579,-0.046424064683681904,False
23,1,13,78,0.7923925812916239,0.7354991780818254,-0.02844670160489926,0.9733285267845752,0.5455005501394375,-0.2139139883225688,False
23,8,7,21,0.7499999999999999,0.7807200583588265,0.015360029179413315,0.8720815992723808,0.6508140266182865,-0.11063378632704718,False
23,10,5,10,0.4444444444444444,0.31622776601683794,-0.06410833921380324,0.31622776601683794,0.39999999999999997,0.04188611699158101,False
23,11,4,6,0.5477225575051662,0.5477225575051662,0.0,1.0,0.0,-0.5,False
24,6,8,28,0.47280542884465016,0.5455447255899809,0.036369648372665375,0.264575131106459,0.7937253933193772,0.2645751311064591,False
24,7,7,21,0.6499999999999999,0.5855400437691199,-0.03222997811543998,0.44999999999999996,0.7807200583588265,0.16536002917941328,False
24,9,4,6,0.18257418583505539,0.5477225575051662,0.1825741858350554,0.0,0.6666666666666669,0.3333333333333334,False
26,1,10,45,0.8606978946185856,0.8989331499509894,0.019117627666201897,0.8839599998785473,0.8539864924534399,-0.014986753712553702,False
26,3,6,15,0.8280786712108251,0.8666666666666666,0.01929399772792073,0.9660917830792959,0.7333333333333333,-0.1163792248729813,False
26,4,3,3,0.816496580927726,0.816496580927726,0.0,1.0,0.33333333333333337,-0.3333333333333333,False
27,4,10,45,0.4048766819951098,0.39577716760276094,-0.004549757196174425,0.5813953488372093,0.20459830184114206,-0.18839852349803365,False
27,5,9,36,0.5636018619766344,0.5477225575051661,-0.007939652235734174,0.6859943405700353,0.3333333333333333,-0.17633050361835098,False
28,1,12,66,0.4444444444444444,0.4497340350259275,0.0026447952907415473,0.8438530156892918,0.04580286124143444,-0.3990250772239287,False
28,2,12,66,0.6334213146261567,0.5929304449793936,-0.020245434823381536,0.8322397195638239,0.338501600193165,-0.24686905968532946,False
28,4,10,45,0.6432019047938815,0.5683286162253945,-0.03743664428424348,0.5689863003945875,0.6137949055234262,0.02240430256441933,False
29,1,15,105,0.8088223218897317,0.7612020568998559,-0.023810132494937908,0.9791643818062103,0.5449820181420518,-0.21709118183207926,False
29,11,4,6,0.5163977794943223,0.18257418583505539,-0.16691179682963347,1.0,-0.7071067811865477,-0.8535533905932738,False
30,2,15,105,0.4900245018376531,0.6244571138007717,0.06721630598155931,0.36464264419326764,0.7211538461538463,0.1782556009802893,False
30,6,10,45,0.3953329688859206,0.5980568180967069,0.10136192460539312,0.2686124597780274,0.6592611948214576,0.19532436752171511,False
30,7,9,36,0.49239912322395957,0.5261367915016469,0.016868834138843686,0.11952286093343935,0.7606388292556648,0.32055798416111275,False
31,4,13,78,0.6670526433937293,0.519524333466131,-0.07376415496379912,0.3425943549137658,0.7975389495619482,0.2274722973240912,False
31,5,12,66,0.40625,0.4615930911724977,0.027671545586248847,-0.09302605094190634,0.9313248452425005,0.5121754480922034,False
32,9,6,15,0.4472135954999579,0.4472135954999579,0.0,0.9999999999999999,-0.2,-0.6,False
32,10,5,10,0.22360679774997894,0.22360679774997894,0.0,0.7999999999999999,-0.39999999999999997,-0.6,False
32,11,5,10,0.7499999999999999,0.22360679774997894,-0.2631966011250105,0.9428090415820632,-0.10540925533894596,-0.5241091484605046,False
33,5,8,28,0.4815434123430768,0.6182840223353117,0.06837030499611743,0.3546496828075953,0.7142857142857142,0.17981801573905945,False
33,9,5,10,0.4082482904638631,0.25819888974716115,-0.07502470035835096,0.3333333333333333,0.10540925533894596,-0.11396203899719368,False
34,3,12,66,0.6000833506984642,0.39400626128204935,-0.10303854470820742,0.27451509933939783,0.6565076777938937,0.19099628922724796,False
34,6,10,45,0.5432512781572743,0.39577716760276094,-0.07373705527725666,0.8581163303210331,0.04494665749754947,-0.4065848364117418,False
34,10,6,15,0.44474958999666075,0.5520524474738834,0.05365142873861131,-0.07412493166611013,0.9660917830792959,0.520108357372703,False
